Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
七,8654,qī,cat1,chhit,,chhit,4qiq,しち,しち,しつ,,,,,,,,,,,,,,,,,
九,8655,jiǔ,gau2,kiú,giu3,káu,2jieu,く,く,きゅう,아홉|구,,,,,,,,,,,,,,,,
万,8656,mò,mak6,,,,,もん,もん,ばん,만,,,,,,,,,,,,,,,,
最,8677,zuì,zeoi3,chui,,chòe,2tsoe,さい,さい,さい,hangeul=최|eumhun=|rv=choe|mr=ch'oe|y=choy,,,,,,,,,,,,,,,,
近,8683,jìn,kan5,khiun,,,3jjin,ごん,ごん,きん,hangeul=근|eumhun=|mr=kŭn|y=kun,,,,,,,,,,,,,,,,
n,8698,ēn,en1,,,,,,,,,,,,,,,,,,,,,,,,
烈,8715,liè,lit6,lie̍t,,lia̍t,,れち,れち,れつ,hangeul=[[렬]]>[[열]]|eumhun=|rv=ryeol>yeol|mr=ryŏl>yŏl|y=lyel>yel,,,,,,,,,,,,,,,,
造,8732,zào,zou6,chho,,,3zau,ぞう,ぞう,そう,hangeul=조|eumhun=,,,,,,,,,,,,,,,,
刀,8840,dāo,dou1,tô,,to,1tau,と,と,とう,hangeul=도|eumhun=칼,,,,,,,,,,,,,,,,
萬,8867,wàn,maan6,van,van4,bān,3me,もん,もん,ばん,hangeul=만|eumhun=만,,,,,,,,,,,,,,,,
何,8945,hé,ho4,hò,,hô,3hhu,が,が,か,hangeul=하,,,,,,,,,,,,,,,,
心,9067,xīn,sam1,sîm,,sim,1xin,しん,しん,しん,마음|심,,,,,,,,,,,,,,,,
日,9296,rì,jat6,ngit,ngid5,,5nyiq,にち,にち,じつ,날|일,,,,,,,,,,,,,,,,
白,9302,bái,baak6,pha̍k,pag6,,5baq,びゃく,びゃく,はく,,,,,,,,,,,,,,,,,
年,9307,nián,nin4,ngièn,ngian2,nî,3nyi,ねん,ねん,でん,,,,,,,,,,,,,,,,,
曜,9308,yào,jiu6,,,iāu,,よう,よう,よう,요,,,,,,,,,,,,,,,,
南,9311,nán,naam4,nàm,,lâm,3noe,なん,なん,だん,hangeul=남|eumhun=남녘,,,,,,,,,,,,,,,,
東,9312,dōng,dung1,tûng,,tang,1ton,つう,つう,とう,동녘|동,,,,,,,,,,,,,,,,
北,9313,běi,bak1,pet,,pak,4poq,ほく,ほく,ほく,북녘|북,,,,,,,,,,,,,,,,
隶,9576,,,,,,,い,い,い,hangeul=[[이]], [[시]], [[제]], [[대]], [[태]]|eumhun=|rv=i, si, je, dae, tae|mr=i, si, che, tae, t'ae|y=i, si, cey, tay, thay
文,9660,wén,man4,vùn,vun2,bûn,3ven,もん,もん,ぶん,,,,,,,,,,,,,,,,,
森,9667,sēn,sam1,,,serm,,しん,しん,しん,hangeul=삼|eumhun=숲|rv=sam|mr=sam|y=sam,,,,,,,,,,,,,,,,
酒,9732,jiǔ,zau2,chiú,jiu3,chiú,2jieu,しゅ,しゅ,しゅう,hangeul=주,,,,,,,,,,,,,,,,
火,9837,huǒ,fo2,fó,fo3,,2hu,か,か,か,,,,,,,,,,,,,,,,,
柄,9848,bǐng,beng3,,,,,ひょう,ひょう,へい,hangeul=[[병]]|eumhun=|rv=byeong|mr=pyŏng|y=pyeng,,,,,,,,,,,,,,,,
中,9872,zhōng,zung1,chûng,zung1,tiong,1tson,ちゅう,ちゅう,ちゅう,,,,,,,,,,,,,,,,,
雨,9885,yǔ,jyu5,yí,i3,,3hhy,う,う,う,,,,,,,,,,,,,,,,,
㐁,10075,tiàn,tim2,,,,,てん,てん,てん,hangeul=첨|rv=cheom|mr=ch'ŏm|y=chem|eumhun=핥다|ehrv=halda|ehmr=halta|ehy=halthta,,,,,,,,,,,,,,,,
㐆,10081,yǐn,zaan2,,,,,,,,hangeul=은|rv=eun|mr=ŭn|y=un|eumhun=돌아오다|ehrv=dolaoda|ehmr=tolaoda|ehy=tolaota,,,,,,,,,,,,,,,,
㐭,10121,lǐn,,,,,,,,,hangeul=[[름]]([[늠]])|rv=reum(neum)|mr=rŭm(nŭm)|y=rum(<sup>r</sup>num)|eumhun=곳집|ehrv=gotjip|ehmr=kotchip|ehy=koscip,,,,,,,,,,,,,,,,
㐱,10125,zhěn,can2,,,,,,,,hangeul=진|rv=jin|mr=chin|y=cin,,,,,,,,,,,,,,,,
㐲,10126,dài,daai6,,,,,,,,hangeul=대|rv=dae|mr=tae|y=tay,,,,,,,,,,,,,,,,
㐸,10132,qiàn,gim1,,,,,,,,hangeul=흠|rv=heum|mr=hŭm|y=hum|eumhun=하품|ehrv=hapum|ehmr=hapum|ehy=hapum,,,,,,,,,,,,,,,,
㑁,10141,zhuō,zyut3,,,,,,,,hangeul=출|rv=chul|mr=ch'ul|y=chwul|eumhun=짧다|ehrv=jjalta|ehmr=tchalta|ehy=ccalpta,,,,,,,,,,,,,,,,
㑃,10143,ǎo,au2,,,,,,,,hangeul=요|rv=yo|mr=yo|y=yo|eumhun=헤매다|ehrv=hemaeda|ehmr=hemaeda|ehy=heymayta,,,,,,,,,,,,,,,,
㑉,10149,sù,cuk1,,,,,,,,hangeul=숙|rv=suk|mr=suk|y=swuk|eumhun=[[펴다|펴지지]] [[않다]]|ehrv=pyeojiji anta|ehmr=pyŏjiji ant'a|ehy=phyecici anhta,,,,,,,,,,,,,,,,
㑗,10173,shēn,saan1,,,,,,,,hangeul=신|rv=sin|mr=sin|y=sin|eumhun=계집|ehrv=gyejip|ehmr=kyejip|ehy=kyeycip,,,,,,,,,,,,,,,,
㑙,10175,dié,dip6,,,,,,,,hangeul=접|rv=jeop|mr=chŏp|y=cep,,,,,,,,,,,,,,,,
㑛,10177,sù,cuk1,,,,,,,,hangeul=속|rv=sok|mr=sok|y=sok,,,,,,,,,,,,,,,,
㑜,10178,yì,zaai6,,,,,,,,hangeul=절|rv=jeol|mr=chŏl|y=cel|eumhun=새기다|ehrv=saegida|ehmr=saegida|ehy=saykita,,,,,,,,,,,,,,,,
㑞,10180,,,,,,,,,,hangeul=잉|rv=ing|mr=ing|y=ing|eumhun=딸려보내다|ehrv=ttallyeobonaeda|ehmr=ttallyŏbonaeda|ehy=ttallyeponayta,,,,,,,,,,,,,,,,
㑟,10181,běng,mang1,,,,,,,,hangeul=팽|rv=paeng|mr=p'aeng|y=phayng|eumhun=거짓말하다|ehrv=geojinmalhada|ehmr=kŏjinmarhada|ehy=kecismalhata,,,,,,,,,,,,,,,,
㑥,10187,yì,zi6,,,,,,,,hangeul=이|rv=i|mr=i|y=i|eumhun=업신여기다|ehrv=eopsinnyeogida|ehmr=ŏpsinnyŏgida|ehy=epqsinqyekita,,,,,,,,,,,,,,,,
㑦,10188,lì,leoi6,,,,,,,,hangeul=[[려]]([[여]])|rv=ryeo(yeo)|mr=ryŏ(yŏ)|y=lye(<sup>l</sup>ye)|eumhun=성내다|ehrv=seongnaeda|ehmr=sŏngnaeda|ehy=sengnayta,,,,,,,,,,,,,,,,
㑮,10196,hún,wan4,,,,,,,,hangeul=혼|rv=hon|mr=hon|y=hon,,,,,,,,,,,,,,,,
㑳,10201,zhòu,zau3,,,,,,,,,,,,,,,,,,,,,,,,
㑵,10203,hàn,zat6,,,,,,,,,,,,,,,,,,,,,,,,
㑻,10209,mà,maa6,,,,,,,,,,,,,,,,,,,,,,,,
㑿,10213,zhào,coek3,,,,,,,,,,,,,,,,,,,,,,,,
㒄,10218,rǎn,ngam4,,,,,,,,,,,,,,,,,,,,,,,,
㒅,10219,qǐ,kai2,,,,,,,,,,,,,,,,,,,,,,,,
㒇,10221,wǔ,ng5,,,,,,,,,,,,,,,,,,,,,,,,
㒈,10222,hàn,hon6,,,,,,,,,,,,,,,,,,,,,,,,
㒊,10224,sè,saap1,,,,,,,,,,,,,,,,,,,,,,,,
㒋,10225,,si1,,,,,,,,,,,,,,,,,,,,,,,,
㒌,10226,,,,,,,,,,,,,,,,,,,,,,,,,,
㒓,10233,tà,taat3,,,,,,,,,,,,,,,,,,,,,,,,
㒔,10234,shǔ,suk6,,,,,,,,,,,,,,,,,,,,,,,,
㒚,10240,wěn,waan2,,,,,,,,,,,,,,,,,,,,,,,,
㒝,10243,miè,mit6,,,,,,,,,,,,,,,,,,,,,,,,
㒟,10245,niǎo,niu5,,,,,,,,,,,,,,,,,,,,,,,,
㒠,10246,xiè,haai6,,,,,,,,,,,,,,,,,,,,,,,,
㒥,10251,fēng,fung1,,,,,,,,,,,,,,,,,,,,,,,,
㒨,10254,,,,,,,,,,,,,,,,,,,,,,,,,,
㒳,10265,,,,,,,,,,,,,,,,,,,,,,,,,,
㒴,10266,gǔ,gwat1,,,,,,,,,,,,,,,,,,,,,,,,
㒸,10270,suì,seoi6,,,,,,,,,,,,,,,,,,,,,,,,
㒹,10271,,,,,,,,,,,,,,,,,,,,,,,,,,
㒼,10274,mán,mun4,,,,,ばん,,,,,,,,,,,,,,,,,,,
㒽,10275,quān,hyun1,,,,,,,,,,,,,,,,,,,,,,,,
㒾,10276,shì,si6,,,,,,,,,,,,,,,,,,,,,,,,
㓃,10281,dù,dou3,,,,,,,,,,,,,,,,,,,,,,,,
㓄,10282,zhèn,saam2,,,,,,,,,,,,,,,,,,,,,,,,
㓊,10288,dòng,dung6,,,,,,,,,,,,,,,,,,,,,,,,
㓖,10300,bì,bit1,,,,,,,,,,,,,,,,,,,,,,,,
㓚,10304,gōng,gung1,,,,,,,,,,,,,,,,,,,,,,,,
㓝,10307,,,,,,,,,,,,,,,,,,,,,,,,,,
㓠,10310,diàn,dim3,,,,,,,,,,,,,,,,,,,,,,,,
㓢,10312,luò,lok3,,,,,,,,,,,,,,,,,,,,,,,,
㓣,10313,qià,zak6,,,,,,,,,,,,,,,,,,,,,,,,
㓤,10314,qià,kit3,,,,,,,,,,,,,,,,,,,,,,,,
㓱,10327,tóu,,,,,,,,,,,,,,,,,,,,,,,,,
㓷,10333,yì,ji6,,,,,,,,,,,,,,,,,,,,,,,,
㓹,10335,ruì,jeoi6,,,,,,,,,,,,,,,,,,,,,,,,
㓺,10336,jiān,gin1,,,,,,,,,,,,,,,,,,,,,,,,
㓻,10337,,,,,,,,,,,,,,,,,,,,,,,,,,
㓼,10338,chì,,,,,,,,,,,,,,,,,,,,,,,,,
㓽,10339,chóng,sung4,,,,,,,,,,,,,,,,,,,,,,,,
㔂,10344,lín,leon4,,,lân,,,,,,,,,,,,,,,,,,,,,
㔄,10346,sù,suk1,,,,,,,,,,,,,,,,,,,,,,,,
㔆,10348,zàn,caam5,,,,,,,,,,,,,,,,,,,,,,,,
㔊,10352,zhǎn,tan2,,,,,,,,,,,,,,,,,,,,,,,,
㔋,10353,jiān,ham3,,,,,,,,,,,,,,,,,,,,,,,,
㔌,10354,zòu,sei3,,,,,,,,,,,,,,,,,,,,,,,,
㔍,10355,chuā,cap3,,,,,,,,,,,,,,,,,,,,,,,,
㔎,10356,xiè,sit3,,,,,,,,,,,,,,,,,,,,,,,,
㔏,10357,lì,gak3,,,,,,,,,,,,,,,,,,,,,,,,
㔒,10360,xí,kwai4,,,,,,,,,,,,,,,,,,,,,,,,
㔓,10361,jiǎn,gin2,,,,,,,,,,,,,,,,,,,,,,,,
㔗,10366,fèi,bei6,,,,,,,,,,,,,,,,,,,,,,,,
㔙,10369,bēng,ping1,,,,,,,,,,,,,,,,,,,,,,,,
㔝,10374,liǎng,loeng5,,,,,,,,,,,,,,,,,,,,,,,,
㔞,10376,kuài,fai3,,,,,,,,,,,,,,,,,,,,,,,,
丂,10383,kǎo,haau2,kháu,,,,こう,こう,こう,hangeul=교|rv=gyo|mr=kyo|y=kyo|eumhun=공교하다|ehrv=gonggyohada|ehmr=konggyohada|ehy=kongkyohada,,,,,,,,,,,,,,,,
丄,10384,,,,,,,じょう,じょう,しょう,hangeul=상|rv=sang|mr=sang|y=sang|eumhun=위|ehrv=wi|ehmr=wi|ehy=wi,,,,,,,,,,,,,,,,
丅,10385,,,,,,,げ,げ,か,hangeul=하|rv=ha|mr=ha|y=ha|eumhun=아래|ehrv=arae|ehmr=arae|ehy=alay,,,,,,,,,,,,,,,,
丈,10387,zhàng,zoeng6,chhong,,,3zan,じょう,じょう,ちょう,hangeul=장|rv=jang|mr=chang|y=cang|eumhun=어른|ehrv=eoleun|ehmr=ǒrǔn|ehy=,,,,,,,,,,,,,,,,
上,10388,shàng,soeng6,song,song4,,3zaan,じょう,じょう,しょう,,,,,,,,,,,,,,,,,
下,10389,xià,haa6,hâ,ha4,,3hho,げ,げ,か,,,,,,,,,,,,,,,,,
与,10392,,,,,,,よ,よ,よ,hangeul=여|rv=yeo|mr=yŏ,,,,,,,,,,,,,,,,
丏,10393,miǎn,min5,,,bián,,めん,めん,べん,hangeul=[[면]]|rv=myeon|mr=myŏn,,,,,,,,,,,,,,,,
丐,10394,gài,koi3,,,kài,2ke,かい,かい,かい,hangeul=[[갈]], [[개]]|rv=gal, gae|mr=kal, kae,,,,,,,,,,,,,
丑,10395,chǒu,cau2,chhú,,,,ちゅ,ちゅ,ちゅう,소|축,,,,,,,,,,,,,,,,
