,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
45,丁,8320.0,dīng,ding1,tên,,teng,1tin,ちょう,ちょう,てい,hangeul=정|rv=jeong|mr=chŏng|y=ceng|eumhun=[[고무래]], [[장정]]|ehrv=gomurae, jangjeong|ehmr=komurae, changjŏng|ehy=komuray, cangceng,,,,,,,,,,,,
46,村,8357.0,cūn,cyun1,chhûn,,chhun,1tshen,そん,そん,そん,hangeul=촌|eumhun=마을|mr=ch'on|y=chon|ehrv=maeul|ehmr=maŭl|ehy=maul,,,,,,,,,,,,,,,,
47,激,8628.0,jī,gik1,kie̍p,,,4jiq,きゃく,きゃく,けき,hangeul=격|eumhun=|rv=gyeok|mr=kyŏk|y=kyek,,,,,,,,,,,,,,,,
48,闘,8630.0,,,,,,,つ,つ,とう,,,,,,,,,,,,,,,,,
49,界,8632.0,jiè,gaai3,kie,,kài,,け,け,かい,hangeul=계|eumhun=|rv=gye|mr=kye|y=kyey,,,,,,,,,,,,,,,,
50,章,8635.0,zhāng,zoeng1,chông,,,1tsaan,しょう,しょう,しょう,hangeul=[[장]]|eumhun=|mr=chang|y=cang,,,,,,,,,,,,,,,,
51,編,8637.0,biān,pin1,phiên,,ian,1pi,へん,へん,へん,hangeul=[[편]], [[변]]|eumhun=|rv=pyeon, byeon|mr=p'yŏn, pyŏn|y=phyen, pyen,,,,,,,,,,,,
52,神,8639.0,shén,san4,sṳ̀n,,sîn,3zen,じん,じん,しん,hangeul=신,,,,,,,,,,,,,,,,
53,三,8650.0,sān,saam1,sâm,sam1,saⁿ,1se,さん,さん,さん,,,,,,,,,,,,,,,,,
54,四,8651.0,sì,sei3,si,xi4,,2sr,し,し,し,넉|사,,,,,,,,,,,,,,,,
55,五,8652.0,wǔ,ng5,ńg,n3,,3hhngg,ご,ご,ご,,,,,,,,,,,,,,,,,
56,六,8653.0,liù,luk6,liuk,liug5,la̍k,5loq,ろく,ろく,りく,,,,,,,,,,,,,,,,,
57,七,8654.0,qī,cat1,chhit,,chhit,4qiq,しち,しち,しつ,,,,,,,,,,,,,,,,,
58,九,8655.0,jiǔ,gau2,kiú,giu3,káu,2jieu,く,く,きゅう,아홉|구,,,,,,,,,,,,,,,,
