,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
2231,岢,14461.0,kě,ho2,,,,,か,,,,,,,,,,,,,,,,,,,
2232,岣,14462.0,gǒu,gau2,,,,,こう,,,hangeul=구|rv=gu|mr=ku,,,,,,,,,,,,,,,,
2233,岦,14465.0,lì,laap6,,,,,りゅう,,,hangeul=립|rv=rip|mr=rip,,,,,,,,,,,,,,,,
2234,岧,14466.0,tiáo,tiu4,,,,,てう,,,초,,,,,,,,,,,,,,,,
2235,岨,14467.0,qū,zeoi1,,,,,そ,そ,しょ,hangeul=저,,,,,,,,,,,,,,,,
2236,岩,14468.0,yán,ngaam4,ngàm,,,3hhi,げん,げん,がん,hangeul=암,,,,,,,,,,,,,,,,
2237,岯,14474.0,pí,pei4,,,,,び,び,ひ,,,,,,,,,,,,,,,,,
2238,岱,14476.0,dài,doi6,,,,,だい,だい,たい,hangeul=대|rv=dae|mr=tae,,,,,,,,,,,,,,,,
2239,岳,14478.0,yuè,ngok6,ngo̍k,,ga̍k,,がく,,,hangeul=악|rv=ak|mr=ak,,,,,,,,,,,,,,,,
2240,岵,14480.0,hù,wu6,,,,,こ,,,hangeul=[[호]]|rv=ho|mr=ho,,,,,,,,,,,,,,,,
2241,岷,14482.0,mín,man4,,,,,びん,,,hangeul=민|rv=min|mr=min,,,,,,,,,,,,,,,,
2242,岸,14483.0,àn,ngon6,ngan,ngan4,hōaⁿ,,がん,がん,がん,hangeul=안|rv=an|mr=an|y=an,,,,,,,,,,,,,,,,
2243,岻,14486.0,chí,ci4,,,,,じ,,,,,,,,,,,,,,,,,,,
2244,峉,14500.0,è,ngaak6,,,,,がく,,,,,,,,,,,,,,,,,,,
2245,峋,14502.0,xún,seon1,,,,,しゅん,,,hangeul=[[순]]|rv=sun|mr=sun,,,,,,,,,,,,,,,,
2246,峏,14506.0,,,,,,,じ,,,,,,,,,,,,,,,,,,,
2247,峐,14507.0,gāi,goi1,,,,,かい,,,,,,,,,,,,,,,,,,,
2248,峑,14508.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,峒,14509.0,dòng,dung6,,,,,とう,,,동,,,,,,,,,,,,,,,,
2250,峓,14510.0,yí,ji4,,,,,,,,,,,,,,,,,,,,,,,,
2251,峔,14511.0,mǔ,mou5,,,,,ぼ,,,,,,,,,,,,,,,,,,,
2252,峗,14514.0,wéi,ngai4,,,,,ぎ,ぎ,ぎ,,,,,,,,,,,,,,,,,
2253,峘,14516.0,huán,wun4,,,,,かん,,,,,,,,,,,,,,,,,,,
2254,峙,14517.0,zhì,ci5,,,,,じ,じ,ち,치,,,,,,,,,,,,,,,,
2255,峛,14519.0,lǐ,lei5,,,,,り,,,,,,,,,,,,,,,,,,,
2256,峞,14523.0,wéi,ngai4,,,,,げ,げ,がい,,,,,,,,,,,,,,,,,
2257,峨,14538.0,é,ngo4,,,gô,,が,が,が,아,,,,,,,,,,,,,,,,
2258,峬,14542.0,bū,bou1,,,,,ふ,ふ,ほ,,,,,,,,,,,,,,,,,
2259,峭,14543.0,qiào,ciu3,,,chhiàu,,しょう,しょう,しょう,초,,,,,,,,,,,,,,,,
2260,峮,14544.0,,,,,,,きん,,,,,,,,,,,,,,,,,,,
2261,峰,14546.0,fēng,fung1,fûng,,hong,,ふ,ふ,ほう,hangeul=봉|rv=bong|mr=pong,,,,,,,,,,,,,,,,
2262,峱,14547.0,náo,naau4,,,,,どう,,,hangeul=노|rv=no|mr=no,,,,,,,,,,,,,,,,
2263,峴,14551.0,xiàn,jin6,,,,,けん,けん,けん,hangeul=현|rv=hyeon|mr=hyŏn,,,,,,,,,,,,,,,,
2264,島,14553.0,dǎo,dou2,tó,dau3,,2tau,とう,とう,とう,섬|도,,,,,,,,,,,,,,,,
2265,峹,14556.0,tú,tou4,,,,,ず,ず,と,,,,,,,,,,,,,,,,,
2266,峻,14558.0,jùn,zeon3,,,chùn,,しゅん,,,hangeul=준|rv=jun|mr=chun,,,,,,,,,,,,,,,,
2267,峽,14560.0,xiá,haap6,,hiab6,ha̍p,,ぎょう,ぎょう,こう,hangeul=[[협]]|rv=hyeop|mr=hyŏp,,,,,,,,,,,,,,,,
2268,峿,14562.0,yǔ,ng4,,,,,,,,,,,,,,,,,,,,,,,,
2269,崀,14569.0,làng,long4,,,,,,,,,,,,,,,,,,,,,,,,
2270,崆,14575.0,kōng,hung1,,,,,こう,,,공,,,,,,,,,,,,,,,,
2271,崇,14576.0,chóng,sung4,,,chông,,ずう,ずう,しゅう,hangeul=숭|rv=sung|mr=sung,,,,,,,,,,,,,,,,
2272,崈,14579.0,,,,,,,しゅう,,,,,,,,,,,,,,,,,,,
2273,崋,14583.0,huà,waa6,,,,,か,,,,,,,,,,,,,,,,,,,
2274,崌,14585.0,jū,geoi1,,,,,,,,,,,,,,,,,,,,,,,,
2275,崍,14587.0,lái,loi4,,,,,らい,らい,らい,hangeul=래|rv=rae|mr=rae,,,,,,,,,,,,,,,,
2276,崐,14590.0,,,,,,,こん,,,hangeul=곤|rv=gon|mr=kon,,,,,,,,,,,,,,,,
2277,崑,14591.0,Kūn,kwan1,,,,,こん,,,hangeul=곤|rv=gon|mr=kon,,,,,,,,,,,,,,,,
2278,崒,14592.0,zú,zeot1,,,,,しゅつ,,,hangeul=췌|eumhun=|rv=chwe|mr=ch'we|y=chwey,,,,,,,,,,,,,,,,
2279,崔,14594.0,cuī,ceoi1,,,chhui,,さい,さい,さい,hangeul=최|rv=choe|mr=ch'oe|y=choy,,,,,,,,,,,,,,,,
2280,崘,14598.0,,,,,,,ろん,ろん,ろん,,,,,,,,,,,,,,,,,
2281,崙,14599.0,lún,leon4,lùn,,lūn,,ろん,ろん,ろん,륜,,,,,,,,,,,,,,,,
2282,崚,14600.0,líng,ling4,,,,,りょう,,,,,,,,,,,,,,,,,,,
2283,崛,14601.0,jué,gwat6,,,,,くつ,,,굴,,,,,,,,,,,,,,,,
2284,崝,14603.0,zhēng,zang1,,,,,さう,,,,,,,,,,,,,,,,,,,
2285,崞,14604.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2286,崟,14605.0,yín,jam4,,,,,ごん,ごん,ぎん,hangeul=음,,,,,,,,,,,,,,,,
2287,崠,14606.0,dōng,dung3,,,,,とう,,,,,,,,,,,,,,,,,,,
2288,崢,14608.0,zhēng,zaang1,,,chng,,じょう,じょう,そう,hangeul=쟁|rv=jaeng|mr=chaeng,,,,,,,,,,,,,,,,
2289,崥,14611.0,,,,,,,へい,,,,,,,,,,,,,,,,,,,
2290,崦,14612.0,yān,jim1,,,,,えん,,,hangeul=엄,,,,,,,,,,,,,,,,
2291,崧,14613.0,sōng,sung1,,,,,しゅう,,しゅう,숭,,,,,,,,,,,,,,,,
2292,崨,14614.0,,,,,,,せふ,,,,,,,,,,,,,,,,,,,
2293,崩,14615.0,bēng,bang1,,,g,1pan,ほう,ほう,ほう,hangeul=붕|rv=bung|mr=pung,,,,,,,,,,,,,,,,
2294,崪,14616.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2295,崱,14623.0,zè,zak1,,,,,しょく,,,,,,,,,,,,,,,,,,,
2296,崳,14625.0,,,,,,,ゆ,,,,,,,,,,,,,,,,,,,
2297,崴,14626.0,wǎi,wai1,,,,,わい,,,hangeul=[[외]], [[위]]|rv=|mr=,,,,,,,,,,,,,,,
2298,崵,14627.0,,,,,,,せう,,,,,,,,,,,,,,,,,,,
2299,崶,14628.0,,,,,,,ほう,,,,,,,,,,,,,,,,,,,
2300,崷,14629.0,,,,,,,しう,,,,,,,,,,,,,,,,,,,
2301,崹,14631.0,,,,,,,てい,,,,,,,,,,,,,,,,,,,
2302,崺,14632.0,yǐ,ji5,,,,,い,,,,,,,,,,,,,,,,,,,
2303,崽,14635.0,zǎi,zoi2,,,cháiⁿ,,さい,,,재,,,,,,,,,,,,,,,,
2304,崿,14637.0,è,ngok6,,,,,がく,,,,,,,,,,,,,,,,,,,
2305,嵀,14638.0,,,,,,,ちう,,,,,,,,,,,,,,,,,,,
2306,嵁,14639.0,,,,,,,かん,,,감,,,,,,,,,,,,,,,,
2307,嵃,14641.0,yǎn,jin6,,,,,げん,,,,,,,,,,,,,,,,,,,
2308,嵇,14645.0,jī,kai1,,,,,げい,げい,けい,,,,,,,,,,,,,,,,,
2309,嵈,14646.0,,,,,,,かん,,,,,,,,,,,,,,,,,,,
2310,嵊,14648.0,shèng,sing6,,,,,しょう,,,,,,,,,,,,,,,,,,,
2311,嵋,14649.0,méi,mei4,,,,,び,,,hangeul=미|rv=mi|mr=mi,,,,,,,,,,,,,,,,
2312,嵌,14650.0,qiàn,ham6,,,am,,かん,,,감,,,,,,,,,,,,,,,,
2313,嵍,14651.0,wù,mou6,,,,,,,,,,,,,,,,,,,,,,,,
2314,嵎,14652.0,,,,,,,ぐ,ぐ,ぐ,hangeul=유|rv=yu|mr=yu,,,,,,,,,,,,,,,,
2315,嵐,14654.0,lán,laam4,,lam2,lâm,,らん,らん,らん,hangeul=[[람]]|rv=ram|mr=ram,,,,,,,,,,,,,,,,
2316,嵑,14655.0,,,,,,,けつ,,,,,,,,,,,,,,,,,,,
2317,嵒,14656.0,,,,,,,げん,げん,がん,hangeul=암|rv=am|mr=am,,,,,,,,,,,,,,,,
2318,嵔,14658.0,,,,,,,,,,hangeul=외|rv=oe|mr=oe|y=oy,,,,,,,,,,,,,,,,
2319,嵕,14659.0,,,,,,,そう,,,,,,,,,,,,,,,,,,,
2320,嵞,14668.0,tú,tou4,,,,,と,,,,,,,,,,,,,,,,,,,
2321,嵟,14669.0,duī,deoi1,,,,,き,,,,,,,,,,,,,,,,,,,
2322,嵠,14670.0,xī,kai1,,,,,げい,,,,,,,,,,,,,,,,,,,
2323,嵣,14673.0,dàng,dong6,,,,,どう,どう,とう,,,,,,,,,,,,,,,,,
2324,嵤,14674.0,róng,wing4,,,,,けい,,,,,,,,,,,,,,,,,,,
2325,嵥,14675.0,,,,,,,けつ,,,,,,,,,,,,,,,,,,,
2326,嵦,14676.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2327,嵧,14677.0,liú,lau4,,,,,る,る,りゅう,,,,,,,,,,,,,,,,,
2328,嵩,14679.0,sōng,sung1,,,,,すう,,,숭,,,,,,,,,,,,,,,,
2329,嵫,14681.0,zī,zi1,,,,,,,,,,,,,,,,,,,,,,,,
2330,嵬,14682.0,wéi,ngai4,,,,,かい,,,hangeul=외|rv=oe|mr=oe,,,,,,,,,,,,,,,,
2331,嵯,14685.0,cuó,co1,,,,,さ,,,hangeul=[[차]], [[치]]|rv=cha, chi|mr=ch'a, ch'i,,,,,,,,,,,,,
2332,嵰,14686.0,,,,,,,けん,,,,,,,,,,,,,,,,,,,
2333,嵱,14687.0,yǒng,jung4,,,,,よう,,,hangeul=용|rv=yong|mr=yong,,,,,,,,,,,,,,,,
2334,嵲,14688.0,,,,,,,げつ,,,,,,,,,,,,,,,,,,,
2335,嵳,14689.0,cuó,co1,,,,,ざ,ざ,さ,,,,,,,,,,,,,,,,,
2336,嵸,14694.0,zōng,zung1,,,,,,,,,,,,,,,,,,,,,,,,
2337,嵼,14698.0,chǎn,caan2,,,,,せん,せん,さん,,,,,,,,,,,,,,,,,
2338,嵽,14699.0,dié,dai6,,,,,でち,でち,てつ,,,,,,,,,,,,,,,,,
2339,嵾,14700.0,cēn,cam1,,,,,しん,,,hangeul=참|eumhun=|rv=cham|mr=ch'am|y=cham,,,,,,,,,,,,,,,,
2340,嶀,14702.0,tū,tou1,,,,,と,,,,,,,,,,,,,,,,,,,
2341,嶁,14703.0,lōu,lau5,,,,,る,,,hangeul=루|rv=ru|mr=ru,,,,,,,,,,,,,,,,
2342,嶂,14704.0,zhàng,zoeng3,,,,,しょう,しょう,しょう,장,,,,,,,,,,,,,,,,
2343,嶃,14705.0,,,,,,,さん,,,hangeul=참|eumhun=|rv=cham|mr=ch'am|y=cham,,,,,,,,,,,,,,,,
2344,嶅,14707.0,áo,ngou4,,,,3ngau,,,,,,,,,,,,,,,,,,,,
2345,嶇,14709.0,qū,keoi1,,,u,,く,く,く,구,,,,,,,,,,,,,,,,
2346,嶈,14710.0,,,,,,,しゃう,,,,,,,,,,,,,,,,,,,
2347,嶉,14711.0,cuī,ceoi1,,,,,すい,,,,,,,,,,,,,,,,,,,
2348,嶊,14712.0,zuǐ,zeoi2,,,,,すい,,,,,,,,,,,,,,,,,,,
2349,嶏,14717.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,嶑,14719.0,xiàng,zoeng6,,,,,,,,,,,,,,,,,,,,,,,,
2351,嶒,14720.0,céng,cang4,,,,,しょう,,,hangeul=증,,,,,,,,,,,,,,,,
2352,嶓,14721.0,bō,bo1,,,,,は,,,,,,,,,,,,,,,,,,,
2353,嶔,14722.0,qīn,jam1,,,,,きん,,,hangeul=금|rv=geum|mr=kŭm,,,,,,,,,,,,,,,,
2354,嶕,14723.0,jiāo,ziu1,,,,,じょう,じょう,しょう,hangeul=초|rv=cho|mr=ch'o,,,,,,,,,,,,,,,,
2355,嶘,14726.0,zhàn,zaan6,,,,,,,,,,,,,,,,,,,,,,,,
2356,嶙,14727.0,lín,leon4,,,,,りん,,,린,,,,,,,,,,,,,,,,
2357,嶚,14728.0,,,,,,,りょう,,,,,,,,,,,,,,,,,,,
2358,嶜,14730.0,jīn,zam1,,,,,,,,,,,,,,,,,,,,,,,,
2359,嶝,14731.0,dèng,dang3,,,tèng,,とう,とう,とう,hangeul=등|rv=deung|mr=tŭng,,,,,,,,,,,,,,,,
2360,嶞,14732.0,,,,,,,た,,,,,,,,,,,,,,,,,,,
2361,嶟,14733.0,,,,,,,そん,,,,,,,,,,,,,,,,,,,
2362,嶠,14734.0,jiào,giu2,,,,,きょう,,,교,,,,,,,,,,,,,,,,
2363,嶢,14736.0,yáo,jiu4,,,,,ぎょう,,,hangeul=요|rv=yo|mr=yo,,,,,,,,,,,,,,,,
2364,嶧,14741.0,yì,jik6,,,,,やく,やく,えき,hangeul=역|rv=yeok|mr=yŏk,,,,,,,,,,,,,,,,
2365,嶨,14742.0,xué,hok6,,,,,がく,がく,かく,,,,,,,,,,,,,,,,,
2366,嶩,14743.0,,,,,,,だう,,,,,,,,,,,,,,,,,,,
2367,嶪,14744.0,,,,,,,ぎょう,,,hangeul=업|rv=eop|mr=ŏp,,,,,,,,,,,,,,,,
2368,嶭,14747.0,,,,,,,がつ,,,,,,,,,,,,,,,,,,,
2369,嶮,14748.0,xiǎn,him2,,,hiám,,げん,げん,げん,hangeul=험|rv=heom|mr=hŏm,,,,,,,,,,,,,,,,
2370,嶰,14750.0,,,,,,,かい,,,hangeul=해|rv=hae|mr=hae,,,,,,,,,,,,,,,,
2371,嶲,14752.0,,,,,,,けい,,,,,,,,,,,,,,,,,,,
2372,嶷,14757.0,yí,jik6,,,,,ぎ,,,hangeul=의|rv=ui|mr=ŭi,,,,,,,,,,,,,,,,
2373,嶸,14758.0,róng,wing4,,,,,こう,,,영,,,,,,,,,,,,,,,,
2374,嶺,14760.0,lǐng,leng5,,,léng,,れい,,,hangeul=령|rv=ryeong|mr=ryŏng,,,,,,,,,,,,,,,,
2375,嶼,14762.0,yǔ,zeoi6,yí,yi3,,3hhy,じょ,じょ,しょ,서,,,,,,,,,,,,,,,,
2376,嶽,14763.0,yuè,ngok6,,,ga̍k,,がく,,,hangeul=악|rv=ak|mr=ak,,,,,,,,,,,,,,,,
2377,嶾,14764.0,yǐn,jan2,,,,,,,,,,,,,,,,,,,,,,,,
2378,巀,14766.0,jié,zit3,,,,,さつ,,,,,,,,,,,,,,,,,,,
2379,巁,14767.0,lì,lai6,,,,,,,,,,,,,,,,,,,,,,,,
2380,巇,14773.0,xī,hei3,,,,,き,,,,,,,,,,,,,,,,,,,
2381,巈,14774.0,jú,guk1,,,,,,,,,,,,,,,,,,,,,,,,
2382,巉,14775.0,chán,caam4,,,,,さん,,,hangeul=참|rv=cham|mr=ch'am,,,,,,,,,,,,,,,,
2383,巊,14776.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2384,巋,14777.0,kuī,kwai1,,,ui,,き,,,hangeul=[[규]]|rv=gyu|mr=kyu,,,,,,,,,,,,,,,,
2385,巎,14780.0,,,,,,,どう,,,,,,,,,,,,,,,,,,,
2386,巐,14782.0,,,,,,,ちょう,,,,,,,,,,,,,,,,,,,
2387,巑,14783.0,cuán,cyun4,,,,,さん,,,찬,,,,,,,,,,,,,,,,
2388,巒,14784.0,luán,lyun4,,,loân,,らん,らん,らん,만,,,,,,,,,,,,,,,,
2389,巔,14786.0,diān,din1,,,tian,1ti,てん,,,hangeul=[[전]]|rv=jeon|mr=chŏn,,,,,,,,,,,,,,,,
2390,巖,14788.0,,,,,,,がん,,,hangeul=[[암]], [[엄]]|rv=am, eom|mr=am, ŏm,,,,,,,,,,,,,
2391,巘,14790.0,yǎn,jin5,,,,,げん,,,,,,,,,,,,,,,,,,,
2392,巛,14793.0,,,,,,,せん,,,,,,,,,,,,,,,,,,,
2393,巜,14794.0,,,,,,,かい,,,,,,,,,,,,,,,,,,,
2394,川,14795.0,chuān,cyun1,chhôn,con1,chhoan,1tshoe,せん,せん,せん,,,,,,,,,,,,,,,,,
2395,州,14796.0,zhōu,zau1,chû,,chiu,1tseu,す,す,しゅう,hangeul=[[주]]|mr=chu|y=cwu,,,,,,,,,,,,,,,,
2396,巟,14797.0,huāng,fong1,,,,,こう,,,,,,,,,,,,,,,,,,,
2397,巠,14798.0,jīng,ging1,,,keng,,きょう,きょう,けい,hangeul=[[경]]|rv=gyeong|mr=kyŏng,,,,,,,,,,,,,,,,
2398,巡,14799.0,xún,ceon4,,,sûn,,じゅん,じゅん,しゅん,hangeul=순|rv=sun|mr=sun,,,,,,,,,,,,,,,,
2399,巢,14800.0,cháo,caau4,sàu,,châu,3zau,じょう,じょう,そう,hangeul=소|mr=so,,,,,,,,,,,,,,,,
2400,巤,14802.0,liè,lip6,,,,,りょう,りょう,りょう,hangeul=[[렵]]>[[엽]]|eumhun=|rv=ryeop>yeop|mr=ryŏp>yŏp|y=lyep>yep,,,,,,,,,,,,,,,,
2401,工,14803.0,gōng,gung1,kûng,,kong,1kon,く,く,こう,,,,,,,,,,,,,,,,,
2402,左,14804.0,zuǒ,zo2,chó,,chó,2tsu,さ,さ,さ,hangeul=좌|eumhun=왼,,,,,,,,,,,,,,,,
2403,巧,14805.0,qiǎo,haau2,kháu,,á,2qiau,きょう,きょう,こう,hangeul=교|rv=gyo|mr=kyo,,,,,,,,,,,,,,,,
2404,巨,14806.0,jù,geoi6,kî,,,,ご,ご,きょ,hangeul=[[거]]|rv=geo|mr=kŏ,,,,,,,,,,,,,,,,
2405,巩,14807.0,,,,,,,きょう,,,hangeul=공|rv=gong|mr=kong,,,,,,,,,,,,,,,,
2406,巫,14809.0,wū,mou4,mù,mu2,bû,3vu,む,む,ぶ,hangeul=무|rv=mu|mr=mu,,,,,,,,,,,,,,,,
2407,差,14812.0,chā,caa1,chhâ,,chha,1tsho,し,し,し,hangeul=[[치]], [[차]], [[채]]|rv=chi, cha, chae|mr=ch'i, ch'a, ch'ae|y=chi, cha, chay,,,,,,,,
2408,己,14815.0,jǐ,gei2,kí,,kī,2ji,こ,こ,き,hangeul=기|rv=gi|mr=ki,,,,,,,,,,,,,,,,
2409,巳,14817.0,sì,zi6,,,sǐr,,じ,じ,し,hangeul=사|rv=sa|mr=sa|y=sa,,,,,,,,,,,,,,,,
2410,巴,14819.0,bā,baa1,pâ,,pa,1pa,へ,へ,は,[[땅]] [[이름]]|파,,,,,,,,,,,,,,,,
2411,巷,14822.0,xiàng,hong6,hong,,hāng,3hhaan,こう,,,항,,,,,,,,,,,,,,,,
2412,巸,14828.0,yí,ji4,,,,,い,,,,,,,,,,,,,,,,,,,
2413,巹,14829.0,jǐn,gan2,,,,,きん,,,hangeul=근|rv=geun|mr=kŭn,,,,,,,,,,,,,,,,
2414,巽,14834.0,xùn,seon3,,,sùn,,そん,,,부드럽다|부드러울|손,,,,,,,,,,,,,,,,
2415,巾,14835.0,jīn,gan1,kîn,,,1jin,こん,こん,きん,수건|건,,,,,,,,,,,,,,,,
2416,巿,14837.0,fú,fat1,,,,,ほち,ほち,ふつ,,,,,,,,,,,,,,,,,
2417,帀,14840.0,,,,,,,そう,,,잡,,,,,,,,,,,,,,,,
2418,市,14846.0,shì,si5,sṳ,,,3zr,じ,じ,し,,,,,,,,,,,,,,,,,
2419,布,14848.0,bù,bou3,pu,,pò͘,2pu,ふ,ふ,ほ,hangeul=포,,,,,,,,,,,,,,,,
2420,帇,14853.0,,,,,,,でん,,,,,,,,,,,,,,,,,,,
2421,帊,14856.0,,,,,,,へ,へ,は,,,,,,,,,,,,,,,,,
2422,帋,14858.0,,,,,,,し,,,지,,,,,,,,,,,,,,,,
2423,希,14859.0,xī,hei1,hî,hi1,hi,1xi,け,け,き,hangeul=희,,,,,,,,,,,,,,,,
2424,帍,14860.0,,,,,,,こ,,,,,,,,,,,,,,,,,,,
2425,帑,14867.0,tǎng,tong2,,,thóng,,ど,,,hangeul=[[탕]], [[노]]|rv=tang, no|mr=t'ang, no,,,,,,,,,,,,,
2426,帒,14868.0,,,,,,,だい,だい,たい,,,,,,,,,,,,,,,,,
2427,帓,14869.0,mò,mat6,,,,,,,,,,,,,,,,,,,,,,,,
2428,帔,14870.0,pèi,pei3,,,,,ひ,,,,,,,,,,,,,,,,,,,
2429,帕,14871.0,pà,paak3,,,àⁿ,,ばつ,,,hangeul=[[말]], [[파]]|rv=mal, pa|mr=mal, p'a,,,,,,,,,,,,,
2430,帖,14872.0,tiē,tip3,,,thiap,,ちょう,ちょう,ちょう,hangeul=[[첩]], [[체]]|rv=cheop, che|mr=ch'ŏp, ch'e,,,,,,,,,,,,,
2431,帗,14873.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,帘,14875.0,lián,lim4,,,,,れん,,,hangeul=[[렴]]|rv=ryeom|mr=ryŏm,,,,,,,,,,,,,,,,
2433,帙,14876.0,zhì,dit6,,,tia̍t,,じち,じち,ちつ,hangeul=[[질]], [[절]]|rv=jil, jeol|mr=chil, chŏl,,,,,,,,,,,,,
2434,帚,14877.0,zhǒu,zaau2,,,,2tseu,す,す,しゅう,hangeul=추|rv=chu|mr=ch'u,,,,,,,,,,,,,,,,
2435,帛,14878.0,bó,baak6,,,,,びゃく,びゃく,はく,hangeul=백|rv=baek|mr=paek,,,,,,,,,,,,,,,,
2436,帝,14880.0,dì,dai3,ti,di4,tè,2ti,たい,たい,てい,,,,,,,,,,,,,,,,,
2437,帞,14881.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,帟,14882.0,yì,jik6,,,,,えき,,,,,,,,,,,,,,,,,,,
2439,帢,14886.0,qià,hap1,,,,,きょう,きょう,こう,,,,,,,,,,,,,,,,,
2440,帣,14887.0,,,,,,,けん,,,,,,,,,,,,,,,,,,,
2441,帤,14888.0,,,,,,,げよ,,,,,,,,,,,,,,,,,,,
2442,帥,14889.0,shuài,seoi3,sai,,sòe,2se,すい,すい,すい,hangeul=[[솔]], [[수]],,,,,,,,,,,,,,,
2443,帨,14892.0,shuì,seoi3,,,,,せい,,,hangeul=세|rv=se|mr=se,,,,,,,,,,,,,,,,
2444,帩,14893.0,qiào,ciu3,,,,,しょう,しょう,しょう,,,,,,,,,,,,,,,,,
2445,帪,14894.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,師,14895.0,shī,si1,sṳ̂,,sai,1sr,し,し,し,hangeul=사|rv=sa|mr=sa|y=sa,,,,,,,,,,,,,,,,
2447,帬,14896.0,,,,,,,ぐん,ぐん,くん,,,,,,,,,,,,,,,,,
2448,席,14897.0,xí,zik6,,,,,じゃく,じゃく,せき,자리|석,,,,,,,,,,,,,,,,
2449,帳,14903.0,zhàng,zoeng3,,,,,ちょう,ちょう,ちょう,hangeul=장|rv=jang|mr=chang|y=cang,,,,,,,,,,,,,,,,
2450,帴,14904.0,sàn,zin1,,,,,さつ,,,,,,,,,,,,,,,,,,,
2451,帵,14905.0,,,,,,,わん,,,,,,,,,,,,,,,,,,,
2452,帶,14906.0,dài,daai3,tai,,tòa,,たい,たい,たい,hangeul=대|rv=dae|mr=tae,,,,,,,,,,,,,,,,
2453,帷,14907.0,wéi,wai4,,,ûi,,い,い,い,hangeul=유|rv=yu|mr=yu,,,,,,,,,,,,,,,,
2454,常,14908.0,cháng,soeng4,sòng,song2,,,じょう,じょう,しょう,떳떳하다|떳떳할|상,,,,,,,,,,,,,,,,
2455,帹,14909.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,帺,14910.0,qí,kei4,,,,,,,,,,,,,,,,,,,,,,,,
2457,帽,14913.0,mào,mou6,mo,,bō,3mau,もう,もう,ぼう,hangeul=모,,,,,,,,,,,,,,,,
2458,帾,14914.0,dǔ,dou2,,,,,と,,,,,,,,,,,,,,,,,,,
2459,帿,14915.0,,,,,,,,,,hangeul=후|rv=hu|mr=hu,,,,,,,,,,,,,,,,
2460,幃,14919.0,wéi,wai4,,,,,い,い,い,위,,,,,,,,,,,,,,,,
2461,幄,14920.0,wò,ak1,,,,,あく,,,악,,,,,,,,,,,,,,,,
2462,幅,14921.0,fú,fuk1,puk,,pak,,ふく,ふく,ふく,hangeul=폭|rv=pok|mr=p'ok,,,,,,,,,,,,,,,,
2463,幋,14927.0,pán,pun4,,,,,はん,,,,,,,,,,,,,,,,,,,
2464,幌,14928.0,huǎng,fong2,,,hóng,,おう,おう,こう,황,,,,,,,,,,,,,,,,
2465,幎,14930.0,,,,,,,みゃく,みゃく,べき,hangeul=멱|rv=myeok|mr=myŏk,,,,,,,,,,,,,,,,
2466,幏,14931.0,jià,gaa3,,,,,か,,,,,,,,,,,,,,,,,,,
2467,幐,14932.0,,,,,,,とう,,,,,,,,,,,,,,,,,,,
2468,幑,14933.0,,,,,,,き,,,,,,,,,,,,,,,,,,,
2469,幔,14936.0,màn,maan6,,,bān,,まん,まん,ばん,hangeul=만|rv=man|mr=man,,,,,,,,,,,,,,,,
2470,幕,14937.0,mù,mok6,mok,,bō͘,3mu,まく,まく,ばく,hangeul=[[막]]|rv=mak|mr=mak|y=mak,,,,,,,,,,,,,,,,
2471,幖,14938.0,biāo,biu1,,,,,ひょう,,,,,,,,,,,,,,,,,,,
2472,幗,14939.0,guó,gwok3,,,,4koq,かく,,,,,,,,,,,,,,,,,,,
2473,幘,14940.0,zē,zik1,,,,,さく,,,책,,,,,,,,,,,,,,,,
2474,幝,14945.0,chǎn,cin2,,,,,せん,,,,,,,,,,,,,,,,,,,
2475,幞,14946.0,,,,,,,ほく,,,복,,,,,,,,,,,,,,,,
2476,幟,14947.0,zhì,ci3,chṳ,,chì,2tsr,し,,,hangeul=치|rv=chi|mr=ch'i,,,,,,,,,,,,,,,,
2477,幠,14948.0,hū,fu1,,,,,こ,,,,,,,,,,,,,,,,,,,
2478,幡,14949.0,fān,faan1,,,hoân,,ほん,ほん,はん,번,,,,,,,,,,,,,,,,
2479,幣,14951.0,bì,bai6,pi,,,3bi,べ,べ,へい,hangeul=폐|mr=p'ye,,,,,,,,,,,,,,,,
2480,幦,14954.0,,,,,,,べき,,,,,,,,,,,,,,,,,,,
2481,幧,14955.0,,,,,,,せう,,,,,,,,,,,,,,,,,,,
2482,幨,14956.0,,,,,,,せん,,,첨,,,,,,,,,,,,,,,,
2483,幪,14958.0,méng,mung4,miâng,,,,ぼう,,,몽,,,,,,,,,,,,,,,,
