Unnamed: 0,Column1,Column2,mand_pron,mand_tone,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,kor_0,kor_1,kor_2
4240,楔,17832.0,xie,1,sit3,,,siat,,せち,せち,せつ,ㅅ,ㅓ,ㄹ
4241,楖,17834.0,zhi,4,zit3,,,,,,,,ㅈ,ㅡ,ㄹ
4242,楗,17835.0,jian,4,gin6,,,,,けん,,,ㄱ,ㅓ,ㄴ
4243,楘,17837.0,mu,4,muk6,,,,,,,,ㅁ,ㅗ,ㄱ
4244,楙,17838.0,mao,4,mau6,,,,,む,む,ぼう,ㅁ,ㅜ,
4245,楚,17839.0,chu,3,co2,chhú,,chhó͘,2tshu,そ,,,ㅊ,ㅗ,
4246,楛,17840.0,ku,3,fu2,,,,,こ,,,ㄱ,ㅗ,
4247,楝,17842.0,lian,4,lin6,,,,,れん,れん,れん,ㄹ,ㅕ,ㄴ
4248,楞,17843.0,leng,2,ling4,,,,,ろう,ろう,ろう,ㄹ,ㅡ,ㅇ
4249,楟,17844.0,ting,2,ting4,,,,,,,,ㅈ,ㅓ,ㅇ
4250,楠,17845.0,nan,2,naam4,,,lâm,,なん,なん,だん,ㄴ,ㅏ,ㅁ
4251,楢,17847.0,you,2,jau4,,,,,ゆ,ゆ,ゆう,ㅇ,ㅠ,
4252,楣,17848.0,mei,2,mei4,,,,,み,み,び,ㅁ,ㅣ,
4253,楤,17849.0,song,3,sung2,,,,,そう,,,ㅅ,ㅗ,ㅇ
4254,楥,17850.0,yuan,2,,,,,,けん,,,ㅇ,ㅝ,ㄴ
4255,楦,17851.0,xuan,4,hyun3,,,,,けん,,,ㅎ,ㅝ,ㄴ
4256,楨,17853.0,zhen,1,zing1,,,,,てい,,,ㅈ,ㅓ,ㅇ
4257,楩,17854.0,pian,2,pin4,,,,,へん,,,ㅍ,ㅕ,ㄴ
4258,楪,17855.0,die,2,dip6,,,ia̍p,,じょう,じょう,ちょう,ㅈ,ㅓ,ㅂ
4259,楫,17856.0,ji,2,zip3,,,,,じゅう,じゅう,しゅう,ㅈ,ㅡ,ㅂ
4260,楬,17857.0,jie,2,kit3,,,,,けつ,,,ㄱ,ㅏ,ㄹ
4261,業,17858.0,ye,4,jip6,ngia̍p,ngiab6,gia̍p,5nyiq,ごう,ごう,ぎょう,ㅇ,ㅓ,ㅂ
4262,楮,17859.0,chu,3,cyu5,,,,,ちょ,,,ㅈ,ㅓ,
4263,楯,17860.0,shun,3,seon5,,,,,じゅん,,,ㅅ,ㅜ,ㄴ
4264,楰,17861.0,yu,2,jyu4,,,,,ゆ,,,ㅇ,ㅠ,
4265,楱,17862.0,,,,,,,,そう,,,ㅈ,ㅜ,
4266,楲,17863.0,,,,,,,,い,,,ㅇ,ㅟ,
4267,楴,17865.0,ti,4,tai3,,,,,たい,たい,てい,ㅊ,ㅔ,
4268,極,17866.0,ji,2,gik6,khi̍t,kid6,kia̍k,5jjiq,ごく,ごく,きょく,ㄱ,ㅡ,ㄱ
4269,楶,17867.0,jie,2,zit3,,,,,,,,ㅈ,ㅓ,ㄹ
4270,楷,17868.0,jie,1,kaai2,,,ái,,け,け,かい,ㅎ,ㅐ,
4271,楸,17869.0,qiu,1,cau1,,,,,しゅ,しゅ,しゅう,ㅊ,ㅜ,
4272,楹,17870.0,ying,2,jing4,,,,,えい,,,ㅇ,ㅕ,ㅇ
4273,楺,17871.0,,,,,,,,じゅう,,,ㅇ,ㅠ,
4274,榅,17882.0,,,,,,,,,,,ㅇ,ㅗ,ㄴ
4275,榆,17883.0,yu,2,jyu4,,,,,ゆ,,,ㅇ,ㅠ,
4276,榍,17890.0,xie,4,sit3,,,,,せつ,,,ㅅ,ㅓ,ㄹ
4277,榎,17891.0,jia,3,gaa2,,,,,け,け,か,ㄱ,ㅏ,
4278,榑,17895.0,fu,2,fu4,,,,,ぶ,ぶ,ふ,ㅂ,ㅜ,
4279,榓,17897.0,mi,4,mat6,,,,,,,,ㅍ,ㅣ,ㄹ
4280,榔,17898.0,lang,2,long4,,,lông,,ろう,,,ㄹ,ㅏ,ㅇ
4281,榖,17914.0,gu,3,guk1,,,,,こく,,,ㄱ,ㅗ,ㄱ
4282,榗,17915.0,jian,4,zin3,,,,,,,,ㅈ,ㅣ,ㄴ
4283,榘,17916.0,,,,,,,,く,,,ㄱ,ㅜ,
4284,榙,17917.0,ta,1,daap6,,,,,,,,ㄷ,ㅏ,ㅂ
4285,榛,17919.0,zhen,1,zeon1,,,,,しん,,,ㅈ,ㅣ,ㄴ
4286,榝,17921.0,,,,,,,,,,,ㅅ,ㅏ,ㄹ
4287,榞,17922.0,,,,,,,,,,,ㅇ,ㅝ,ㄴ
4288,榠,17924.0,,,,,,,,べい,,,ㅁ,ㅕ,ㅇ
4289,榣,17927.0,yao,2,jiu4,,,,,,,,ㅇ,ㅛ,
4290,榤,17928.0,jie,2,git6,,,,,,,,ㄱ,ㅓ,ㄹ
4291,榥,17929.0,huang,4,fong2,,,,,こう,,,ㅎ,ㅘ,ㅇ
4292,榦,17930.0,,,,,,,,かん,,,ㄱ,ㅏ,ㄴ
4293,榧,17931.0,fei,3,fei2,,,,,ひ,,,ㅂ,ㅣ,
4294,榨,17932.0,zha,4,zaa3,,,,,さ,,,ㅈ,ㅏ,
4295,榩,17933.0,,,,,,,,,,,ㄱ,ㅓ,ㄴ
4296,榪,17934.0,ma,4,maa5,,,,,,,,ㅁ,ㅏ,
4297,榬,17936.0,,,,,,,,,,,ㅇ,ㅝ,ㄴ
4298,榭,17937.0,xie,4,ze6,,,,,しゃ,,,ㅅ,ㅏ,
4299,榮,17938.0,rong,2,wing4,yùng,iung2,êng,,よう,よう,えい,ㅇ,ㅕ,ㅇ
4300,榯,17939.0,shi,2,si4,,,,,じ,じ,し,ㅅ,ㅣ,
4301,榰,17940.0,zhi,1,zi1,,,,,,,,ㅈ,ㅣ,
4302,榴,17944.0,liu,2,lau4,liù,,liû,3lieu,る,る,りゅう,ㄹ,ㅠ,
4303,榵,17945.0,rong,2,jung4,,,,,,,,ㅇ,ㅛ,ㅇ
4304,榶,17946.0,tang,2,tong4,,,,,どう,どう,とう,ㄷ,ㅏ,ㅇ
4305,榷,17947.0,que,4,kok3,,,,,かく,,,ㄱ,ㅛ,
4306,榸,17948.0,zhai,1,zaai1,,,,,たい,,,ㅊ,ㅐ,
4307,榹,17949.0,si,1,si1,,,,,,,,ㅅ,ㅏ,
4308,榺,17950.0,sheng,4,sing3,,,,,しょう,,,ㅅ,ㅡ,ㅇ
4309,榻,17951.0,ta,4,taap3,,,,,とう,とう,とう,ㅌ,ㅏ,ㅂ
4310,榼,17952.0,ke,1,hap6,,,,,こう,,,ㅎ,ㅏ,ㅂ
4311,榽,17953.0,xi,1,hai4,,,,,,,,ㅎ,ㅖ,
4312,榾,17954.0,gu,3,gwat1,,,,,こち,こち,こつ,ㄱ,ㅗ,ㄹ
4313,槁,17957.0,gao,3,gou2,,,,,こう,,,ㄱ,ㅗ,
4314,槃,17959.0,,,,,,,,ばん,ばん,はん,ㅂ,ㅏ,ㄴ
4315,槄,17961.0,tao,1,tou1,,,,,,,,ㄷ,ㅗ,
4316,槅,17962.0,ge,2,gaak3,,,,,かく,,,ㄷ,ㅗ,
4317,槆,17963.0,xun,2,ceon1,,,,,,,,ㅅ,ㅜ,ㄴ
4318,槇,17964.0,,,,,,,,てん,,,ㅈ,ㅓ,ㄴ
4319,槉,17966.0,ji,2,zat6,,,,,,,,ㅈ,ㅣ,ㄹ
4320,槊,17967.0,shuo,4,sok3,,,,,さく,,,ㅅ,ㅏ,ㄱ
4321,構,17969.0,gou,4,kau3,kiêu,,kiò,,く,く,こう,ㄱ,ㅜ,
4322,槌,17970.0,chui,2,ceoi4,chhùi,,thûi,,ずい,ずい,つい,ㅌ,ㅚ,
4323,槍,17971.0,qiang,1,coeng1,chhiông,,,1qian,そう,そう,しょう,ㅊ,ㅏ,ㅇ
4324,槎,17972.0,cha,2,caa4,,,,,じゃ,じゃ,さ,ㅊ,ㅏ,
4325,槏,17973.0,qian,3,haam2,,,,,,,,ㄱ,ㅕ,ㅁ
4326,槐,17974.0,huai,2,waai4,,,hoâi,,け,け,かい,ㄱ,ㅚ,
4327,槙,17983.0,dian,1,din1,,,,,てん,てん,てん,ㅈ,ㅓ,ㄴ
4328,槢,17992.0,xi,2,zaap6,,,,,しゅう,,,ㅅ,ㅡ,ㅂ
4329,槥,17995.0,hui,4,seoi6,,,,,えい,,,ㅎ,ㅖ,
4330,槦,17996.0,yong,1,jung4,,,,,,,,ㅇ,ㅛ,ㅇ
4331,槧,17997.0,qian,4,cim3,,,,,さん,,,ㅊ,ㅏ,ㅁ
4332,槨,17999.0,guo,3,gwok3,,,,,かく,,,ㄱ,ㅘ,ㄱ
4333,槩,18000.0,,,,,,,,がい,,,ㄱ,ㅐ,
4334,槭,18004.0,qi,1,cik1,,,,,しゅく,,,ㅅ,ㅐ,ㄱ
4335,槮,18006.0,sen,1,sam1,,,,,しん,,,ㅅ,ㅏ,ㅁ
4336,槯,18008.0,cui,1,ceoi4,,,,,さい,,,ㅊ,ㅚ,
4337,槱,18010.0,you,3,jau5,,,,,ゆう,,,ㅇ,ㅠ,
4338,槲,18011.0,hu,2,huk6,,,,,こく,,,ㄱ,ㅗ,ㄱ
4339,槳,18012.0,jiang,3,zoeng2,chíong,,,2jian,そう,そう,しょう,ㅈ,ㅏ,ㅇ
4340,槵,18014.0,huan,4,waan6,,,,,がん,がん,かん,ㅎ,ㅘ,ㄴ
4341,槷,18016.0,,,,,,,,,,,ㅇ,ㅓ,ㄹ
4342,槸,18017.0,,,,,,,,,,,ㅇ,ㅖ,
4343,槺,18019.0,kang,1,hong1,,,,,,,,ㄱ,ㅏ,ㅇ
4344,槻,18020.0,gui,1,kwai1,,,,,き,き,き,ㄱ,ㅠ,
4345,槽,18022.0,cao,2,cou4,,,chô,,ぞう,ぞう,そう,ㅈ,ㅗ,
4346,槾,18023.0,man,4,maan6,,,,,ばん,,,ㅁ,ㅏ,ㄴ
4347,槿,18024.0,jin,3,gan2,,,,,きん,,,ㄱ,ㅡ,ㄴ
4348,樀,18025.0,,,,,,,,てき,,,ㅈ,ㅓ,ㄱ
4349,樁,18026.0,zhuang,1,zong1,,zong1,chong,,とう,,,ㅈ,ㅏ,ㅇ
4350,樂,18027.0,yue,4,ngok6,ngo̍k,ngog6,ga̍k,5hhiaq,ぎょう,ぎょう,ごう,ㄹ,ㅏ,ㄱ
4351,樅,18030.0,cong,1,cung1,,,,,しょう,,,ㅈ,ㅗ,ㅇ
4352,樆,18031.0,li,2,lei4,,,,,,,,ㄹ,ㅣ,
4353,樇,18032.0,,,,,,,,,,,ㅅ,ㅜ,
4354,樈,18033.0,qing,2,king4,,,,,,,,ㄱ,ㅕ,ㅇ
4355,樉,18034.0,,,,,,,,,,,ㅅ,ㅏ,ㅇ
4356,樊,18035.0,fan,2,faan4,,,hân,,はん,,,ㅂ,ㅓ,ㄴ
4357,樌,18037.0,,,,,,,,かん,かん,かん,ㄱ,ㅘ,ㄴ
4358,樍,18038.0,,,,,,,,,,,ㅈ,ㅓ,ㄱ
4359,樎,18039.0,su,4,suk1,,,,,,,,ㅊ,ㅜ,ㄹ
4360,樐,18041.0,,,,,,,,,,,ㄹ,ㅗ,
4361,樑,18042.0,liang,2,loeng4,liòng,,,3lian,りょう,,,ㄹ,ㅑ,ㅇ
4362,樒,18043.0,mi,4,mat6,,,,,みつ,,,ㅁ,ㅣ,ㄹ
4363,樓,18044.0,lou,2,lau4,lèu,lêu2,liô,3leu,る,る,ろう,ㄹ,ㅜ,
4364,樔,18045.0,chao,2,caau4,,,,,じょう,じょう,そう,ㅅ,ㅗ,
4365,樕,18047.0,su,4,sok3,,,,,そく,,,ㅅ,ㅗ,ㄱ
4366,樘,18050.0,tang,2,tong4,,,,,,,,ㅌ,ㅐ,ㅇ
4367,標,18051.0,biao,1,biu1,pêu,,pio,,ひょう,ひょう,ひょう,ㅍ,ㅛ,
4368,樛,18053.0,jiu,1,gau1,,,iu,,きゅう,きゅう,きゅう,ㄱ,ㅠ,
4369,樜,18054.0,,,,,,,,,,,ㅈ,ㅏ,
4370,樝,18055.0,zha,1,zaa1,,,,,さ,,,ㅅ,ㅏ,
4371,樞,18056.0,shu,1,syu1,,,su,,す,す,しゅ,ㅊ,ㅜ,
4372,樠,18058.0,man,2,mun4,,,,,ぼん,,,ㅁ,ㅏ,ㄴ
4373,模,18059.0,mo,2,mou4,mù,,bô͘,3mu,も,も,ぼ,ㅁ,ㅗ,
4374,樤,18062.0,,,,,,,,じょう,,,ㅈ,ㅗ,
4375,樲,18076.0,er,4,ji6,,,,,じ,,,ㅇ,ㅣ,
4376,樳,18077.0,xun,2,cam4,,,,,,,,ㅅ,ㅣ,ㅁ
4377,樴,18078.0,zhi,2,zik1,,,,,しょく,,,ㅈ,ㅣ,ㄱ
4378,樵,18079.0,qiao,2,ciu4,,,,,しょう,,,ㅊ,ㅗ,
4379,樹,18083.0,shu,4,syu6,su,,chhiū,3zr,じゅ,じゅ,しゅ,ㅅ,ㅜ,
4380,樺,18084.0,hua,4,waa6,,,hōa,,げ,げ,か,ㅎ,ㅘ,
4381,樻,18085.0,kui,4,gwai6,,,,,き,,,ㄱ,ㅞ,
4382,樼,18086.0,,,,,,,,,,,ㅈ,ㅣ,ㄴ
4383,樽,18087.0,zun,1,zeon1,,,chun,,そん,そん,そん,ㅈ,ㅜ,ㄴ
4384,樾,18088.0,yue,4,jyut6,,,oa̍t,,えつ,,,ㅇ,ㅝ,ㄹ
4385,樿,18089.0,shan,4,sin6,,,,,せん,,,ㅈ,ㅓ,ㄴ
4386,橀,18090.0,,,,,,,,,,,ㅎ,ㅖ,
4387,橃,18093.0,,,,,,,,,,,ㅂ,ㅓ,ㄹ
4388,橄,18095.0,gan,3,gaam3,,,kám,,かん,かん,かん,ㄱ,ㅏ,ㅁ
4389,橅,18096.0,mo,2,mou4,,,,,ぼ,,,ㅁ,ㅗ,
4390,橇,18098.0,qiao,1,hiu1,,,,,きょう,きょう,きょう,ㅊ,ㅟ,
4391,橈,18099.0,nao,2,naau4,,,,,にょう,にょう,どう,ㅇ,ㅛ,
4392,橉,18100.0,lin,4,leon4,,,,,りん,,,ㄹ,ㅣ,ㄴ
4393,橋,18102.0,qiao,2,kiu4,khièu,,kiâu,3jjiau,ぎょう,ぎょう,きょう,ㄱ,ㅛ,
4394,橌,18103.0,,,,,,,,,,,ㅎ,ㅏ,ㄴ
4395,橎,18105.0,,,,,,,,はん,,,ㅂ,ㅓ,ㄴ
4396,橏,18106.0,zhan,3,gin2,,,,,,,,ㅈ,ㅓ,ㄴ
4397,橐,18107.0,tuo,2,tok3,,,lok,,たく,,,ㅌ,ㅏ,ㄱ
4398,橑,18108.0,,,,,,,,ろう,,,ㄹ,ㅛ,
4399,橒,18109.0,yun,2,wan4,,,,,うん,,,ㅇ,ㅜ,ㄴ
4400,橔,18111.0,dun,1,deon1,,,,,,,,ㄷ,ㅗ,ㄴ
4401,橕,18112.0,cheng,1,caang1,,,,,とう,,,ㅌ,ㅐ,ㅇ
4402,橖,18113.0,tang,2,tong4,,,,,とう,,,ㅌ,ㅐ,ㅇ
4403,橙,18116.0,cheng,2,caang4,chhṳ̀n,cang2,,3zan,じょう,じょう,とう,ㄷ,ㅡ,ㅇ
4404,橚,18117.0,su,4,suk1,,,,,,,,ㅅ,ㅜ,ㄱ
4405,橜,18119.0,,,,,,,,,,,ㄱ,ㅝ,ㄹ
4406,橝,18120.0,dian,4,taam4,,,,,,,,ㄷ,ㅏ,ㅁ
4407,橞,18121.0,,,,,,,,,,,ㅎ,ㅖ,
4408,機,18122.0,ji,1,gei1,kî,gi1,ki,1ji,け,け,き,ㄱ,ㅣ,
4409,橠,18123.0,nuo,3,no5,,,,,,,,ㄴ,ㅏ,
4410,橡,18124.0,xiang,4,zoeng6,,,siǒng,,ぞう,ぞう,しょう,ㅅ,ㅏ,ㅇ
4411,橢,18125.0,tuo,3,to5,,,thó,,た,た,た,ㅌ,ㅏ,
4412,橦,18129.0,tong,2,tung4,,,,,しゅ,しゅ,しょう,ㄷ,ㅗ,ㅇ
4413,橧,18130.0,zeng,1,zang1,,,,,そう,,,ㅈ,ㅡ,ㅇ
4414,橨,18131.0,,,,,,,,,,,ㅂ,ㅜ,ㄴ
4415,橪,18133.0,,,,,,,,ぜん,,,ㅇ,ㅕ,ㄴ
4416,橫,18134.0,heng,2,waang4,vàng,,,3hhuan,おう,おう,こう,ㅎ,ㅚ,ㅇ
4417,橭,18136.0,gu,1,gu1,,,,,,,,ㄱ,ㅗ,
4418,橰,18139.0,gao,1,gou1,,,,,,,,ㄱ,ㅗ,
4419,橾,18153.0,sao,1,sou1,,,,,しゅ,,,ㅅ,ㅜ,
4420,橿,18154.0,jiang,1,goeng1,,,kiong,,きょう,,,ㄱ,ㅏ,ㅇ
4421,檀,18155.0,tan,2,taan4,,,tân,,だん,だん,たん,ㄷ,ㅏ,ㄴ
4422,檂,18157.0,nong,2,nung4,,,,,,,,ㄴ,ㅗ,ㅇ
4423,檄,18159.0,xi,2,hat6,,,he̍k,,げき,,,ㄱ,ㅕ,ㄱ
4424,檆,18161.0,,,,,,,,せん,せん,さん,ㅅ,ㅏ,ㅁ
4425,檇,18162.0,zui,4,zeoi3,,,,,すい,,,ㅊ,ㅟ,
4426,檈,18163.0,,,,,,,,,,,ㅅ,ㅓ,ㄴ
4427,檉,18164.0,cheng,1,cing1,,,,,てい,,,ㅈ,ㅓ,ㅇ
4428,檍,18168.0,yi,4,jik1,,,,,よく,,,ㅇ,ㅓ,ㄱ
4429,檎,18169.0,qin,2,kam4,,,,,ごん,ごん,きん,ㄱ,ㅡ,ㅁ
4430,檐,18171.0,yan,2,jim4,,,iân,,えん,,,ㅊ,ㅓ,ㅁ
4431,檒,18173.0,,,,,,,,,,,ㅍ,ㅜ,ㅇ
4432,檓,18174.0,,,,,,,,,,,ㅎ,ㅞ,
4433,檕,18176.0,ji,4,hai6,,,,,,,,ㄱ,ㅖ,
4434,檖,18177.0,sui,4,seoi6,,,,,,,,ㅅ,ㅜ,
4435,檗,18178.0,bo,4,baak3,,,,,はく,,,ㅂ,ㅕ,ㄱ
4436,檛,18182.0,zhua,1,zaa1,,,,,て,て,た,ㄱ,ㅘ,
4437,檜,18183.0,gui,4,kui2,,,kòe,,け,け,かい,ㅎ,ㅚ,
4438,檝,18184.0,,,,,,,,しゅう,,,ㅈ,ㅡ,ㅂ
4439,檞,18185.0,jie,3,gaai2,,,,,かい,,,ㅎ,ㅐ,
4440,檟,18186.0,jia,3,gaa2,,,,,か,,,ㄱ,ㅏ,
4441,檡,18188.0,zhai,2,zaak6,,,,,つ,,,ㅅ,ㅓ,ㄱ
4442,檢,18189.0,jian,3,gim2,,giam3,kiám,,けん,,,ㄱ,ㅓ,ㅁ
4443,檣,18190.0,qiang,2,coeng4,,,,,ぞう,ぞう,しょう,ㅈ,ㅏ,ㅇ
4444,檥,18192.0,,,,,,,,ぎ,,,ㅇ,ㅢ,
4445,檧,18194.0,,,,,,,,,,,ㅅ,ㅗ,ㅇ
4446,檬,18199.0,meng,2,mung4,,,,,ぼう,,,ㅁ,ㅗ,ㅇ
4447,檭,18200.0,yin,2,ngan4,,,,,,,,ㅇ,ㅡ,ㄴ
4448,檮,18201.0,tao,2,tou4,,,,,とう,,,ㄷ,ㅗ,
4449,檯,18202.0,tai,2,toi4,,,tâi,3de,たい,,,ㄷ,ㅐ,
4450,檳,18206.0,bin,1,ban1,,,,,びん,,,ㅂ,ㅣ,ㄴ
4451,檴,18207.0,huo,4,wok6,,,,,かく,,,ㅎ,ㅘ,ㄱ
4452,檵,18208.0,ji,4,gai3,,,,,,,,ㄱ,ㅖ,
4453,檷,18210.0,,,,,,,,,,,ㄴ,ㅣ,
4454,檸,18211.0,ning,2,ning4,,,,,にょう,にょう,のう,ㄴ,ㅕ,ㅇ
4455,檹,18212.0,yi,1,ji1,,,,,,,,ㅇ,ㅢ,
4456,檻,18214.0,jian,4,haam5,,,,,げん,げん,かん,ㅎ,ㅏ,ㅁ
4457,檼,18215.0,yin,4,jan2,,,,,いん,,,ㅇ,ㅡ,ㄴ
4458,檾,18217.0,qing,3,king2,,,,,きょう,きょう,けい,ㄱ,ㅕ,ㅇ
4459,檿,18218.0,,,,,,,,えん,,,ㅇ,ㅕ,ㅁ
4460,櫀,18219.0,,,,,,,,,,,ㄱ,ㅣ,
4461,櫂,18221.0,zhao,4,zaau6,,,,,じょう,じょう,たく,ㄷ,ㅗ,
4462,櫃,18222.0,gui,4,gwai6,khui,,kūi,,ぎ,ぎ,き,ㄱ,ㅞ,
4463,櫄,18223.0,,,,,,,,,,,ㅊ,ㅜ,ㄴ
4464,櫅,18224.0,ji,1,zai1,,,,,,,,ㅈ,ㅔ,
4465,櫋,18230.0,,,,,,,,,,,ㅁ,ㅕ,ㄴ
4466,櫌,18231.0,you,1,jau1,,,,,ゆう,,,ㅇ,ㅜ,
4467,櫍,18232.0,zhi,4,zat1,,,,,,,,ㅈ,ㅣ,ㄹ
4468,櫎,18233.0,,,,,,,,,,,ㅎ,ㅘ,ㅇ
4469,櫏,18234.0,,,,,,,,,,,ㅊ,ㅓ,ㄴ
4470,櫐,18235.0,lei,3,leoi4,,,,,るい,,,ㄹ,ㅜ,
4471,櫑,18236.0,lei,2,leoi4,,,,,らい,らい,らい,ㄹ,ㅚ,
4472,櫓,18238.0,lu,3,lou5,,,ló͘,,る,る,ろ,ㄹ,ㅗ,
4473,櫔,18239.0,li,4,lai6,,,,,れい,,,ㄹ,ㅖ,
4474,櫕,18240.0,,,,,,,,さん,,,ㅊ,ㅏ,ㄴ
4475,櫖,18241.0,,,,,,,,りょ,,,ㄹ,ㅕ,
4476,櫘,18243.0,hui,4,seoi6,,,,,,,,ㅎ,ㅖ,
4477,櫙,18244.0,ou,1,au1,,,,,,,,ㅇ,ㅜ,
4478,櫜,18247.0,gao,1,gou1,,,ko,,こう,,,ㄱ,ㅗ,
4479,櫝,18248.0,du,2,duk6,,,,,とく,,,ㄷ,ㅗ,ㄱ
4480,櫞,18249.0,yuan,2,jyun4,yèn,,iân,,えん,,,ㅇ,ㅕ,ㄴ
4481,櫟,18250.0,li,4,lik1,,,le̍k,,やく,やく,やく,ㄹ,ㅕ,ㄱ
4482,櫡,18252.0,zhuo,2,zoek3,,,,,,,,ㅈ,ㅓ,
4483,櫧,18258.0,zhu,1,zyu1,,,,,しょ,,,ㅈ,ㅓ,
4484,櫨,18259.0,lu,2,lou4,,,,,る,る,ろ,ㄹ,ㅗ,
4485,櫩,18260.0,yan,2,jim4,,,,,,,,ㅇ,ㅕ,ㅁ
4486,櫪,18261.0,li,4,lik1,,,,,れき,,,ㄹ,ㅕ,ㄱ
4487,櫫,18262.0,zhu,1,zyu1,,,,,,,,ㅈ,ㅓ,
4488,櫬,18263.0,chen,4,can3,,,,,しん,,,ㅊ,ㅣ,ㄴ
4489,櫭,18264.0,jie,2,git6,,,,,,,,ㄱ,ㅓ,ㄹ
4490,櫱,18268.0,nie,4,jit6,,,,,げつ,,,ㅇ,ㅓ,ㄹ
4491,櫳,18270.0,long,2,lung4,,,lang,,る,る,ろう,ㄹ,ㅗ,ㅇ
4492,櫸,18275.0,ju,3,geoi2,,,,,こ,こ,きょ,ㄱ,ㅓ,
4493,櫻,18279.0,ying,1,jing1,,,eng,,よう,よう,おう,ㅇ,ㅐ,ㅇ
4494,櫼,18280.0,jian,1,cim1,,,,,せん,,,ㅊ,ㅓ,ㅁ
4495,櫽,18281.0,yin,3,jan2,,,,,いん,,,ㅇ,ㅡ,ㄴ
4496,櫾,18282.0,you,2,jau2,,,,,,,,ㅇ,ㅠ,
4497,欀,18284.0,xiang,1,soeng1,,,,,,,,ㅇ,ㅑ,ㅇ
4498,欂,18286.0,bo,2,bok3,,,,,はく,はく,はく,ㅂ,ㅏ,ㄱ
4499,欃,18287.0,chan,2,caam4,,,,,さん,,,ㅊ,ㅏ,ㅁ
4500,欄,18289.0,lan,2,laan4,,,lân,,らん,,,ㄹ,ㅏ,ㄴ
4501,欇,18292.0,she,4,sip3,,,,,しょう,,,ㅅ,ㅓ,ㅂ
4502,欈,18293.0,,,,,,,,,,,ㅊ,ㅟ,
4503,權,18295.0,quan,2,kyun4,khièn,kian2,,3jjyoe,けん,,,ㄱ,ㅝ,ㄴ
4504,欋,18296.0,,,,,,,,,,,ㄱ,ㅜ,
4505,欏,18300.0,luo,2,lo4,,,,,ら,ら,ら,ㄹ,ㅏ,
4506,欐,18301.0,li,4,lai6,,,,,れい,,,ㄹ,ㅕ,
4507,欒,18303.0,luan,2,lyun4,,,,,らん,らん,らん,ㄹ,ㅏ,ㄴ
4508,欓,18304.0,dang,3,dong1,,,,,,,,ㄷ,ㅏ,ㅇ
4509,欖,18307.0,lan,3,laam5,,,ná,,らん,らん,らん,ㄹ,ㅏ,ㅁ
4510,欘,18309.0,zhu,2,zuk1,,,,,,,,ㅊ,ㅗ,ㄱ
4511,欙,18310.0,lei,2,leoi4,,,,,,,,ㄹ,ㅠ,
4512,欚,18311.0,li,3,lai5,,,,,,,,ㄹ,ㅖ,
4513,欛,18312.0,ba,4,baa3,,,,,は,,,ㅍ,ㅏ,
4514,欝,18314.0,,,,,,,,うつ,うち,うつ,ㅇ,ㅜ,ㄹ
4515,欠,18317.0,qian,4,him3,khiam,,iàm,2qi,こん,こん,けん,ㅎ,ㅡ,ㅁ
4516,次,18318.0,ci,4,ci3,chhṳ,,,2tshr,し,し,し,ㅊ,ㅏ,
4517,欣,18320.0,xin,1,jan1,hîm,,hin,,こん,こん,きん,ㅎ,ㅡ,ㄴ
4518,欥,18322.0,yi,4,him3,,,,,,,,ㅇ,ㅠ,ㄹ
4519,欦,18323.0,qian,1,him1,,,,,,,,ㅎ,ㅏ,ㅁ
4520,欨,18325.0,xu,1,heoi2,,,,,く,,,ㄱ,ㅜ,
4521,欩,18326.0,chao,1,ciu1,,,,,,,,ㅊ,ㅗ,
4522,欪,18327.0,chu,4,ceot1,,,,,,,,ㅊ,ㅜ,ㄹ
4523,欬,18329.0,ai,4,,,,,,かい,,,ㅎ,ㅐ,
4524,欭,18330.0,yi,4,ji3,,,,,,,,ㅇ,ㅣ,ㄴ
4525,欮,18331.0,jue,2,kyut3,,,,,,,,ㄱ,ㅝ,ㄹ
4526,欯,18332.0,xi,4,hat1,,,,,きつ,,,ㅎ,ㅣ,ㄹ
4527,欰,18333.0,xu,4,seot1,,,,,,,,ㅅ,ㅜ,ㄹ
4528,欱,18334.0,he,1,hot3,,,hap,,,,,ㅎ,ㅏ,ㅂ
4529,欲,18335.0,yu,4,juk6,yu̍k,,io̍k,5hhioq,よく,よく,よく,ㅇ,ㅛ,ㄱ
4530,欴,18337.0,lang,2,long4,,,,,,,,ㄹ,ㅏ,ㅇ
4531,欵,18338.0,,,,,,,,かん,,,ㄱ,ㅘ,ㄴ
4532,欶,18339.0,shuo,4,sok3,,,suh,,さく,,,ㅅ,ㅜ,
4533,欷,18340.0,xi,1,hei1,,,,,け,け,き,ㅎ,ㅢ,
4534,欸,18341.0,ai,1,oi1,,,,,あい,,,ㅇ,ㅐ,
4535,欹,18342.0,qi,1,kei1,,,,,い,い,い,ㅇ,ㅢ,
4536,欺,18343.0,qi,1,hei1,,,i,,こ,こ,き,ㄱ,ㅣ,
4537,欻,18344.0,xu,1,,,,,,くつ,,,ㅎ,ㅜ,ㄹ
4538,欼,18345.0,chi,3,ci2,,,,,,,,ㅊ,ㅚ,
4539,欽,18346.0,qin,1,jam1,,kim1,im,,きん,こん,きん,ㅎ,ㅡ,ㅁ
