,character,wiki_id,mando_onset,mando_nucl,mando_coda,mando_tone,canto_onset,canto_nucl,canto_coda,canto_tone,Column5,Column6,Column7,Column8,jp_on_first,jp_on_rest,jp_kan_first,jp_kan_rest,kor_0,kor_1,kor_2
60,最,8677,z,ui,∅,4,z,eoi,∅,3,chui,,chòe,2tsoe,さ,い,さ,い,ㅊ,ㅚ,∅
61,近,8683,j,i,n,4,k,a,n,5,khiun,,,3jjin,ご,ん,き,ん,ㄱ,ㅡ,ㄴ
63,烈,8715,l,ie,∅,4,l,i,t,6,lie̍t,,lia̍t,,れ,ち,れ,つ,ㄹ,ㅕ,ㄹ
64,造,8732,z,ao,∅,4,z,ou,∅,6,chho,,,3zau,ぞ,う,そ,う,ㅈ,ㅗ,∅
65,刀,8840,d,ao,∅,1,d,ou,∅,1,tô,,to,1tau,と,∅,と,う,ㄷ,ㅗ,∅
66,萬,8867,∅,wa,n,4,m,aa,n,6,van,van4,bān,3me,も,ん,ば,ん,ㅁ,ㅏ,ㄴ
67,何,8945,h,e,∅,2,h,o,∅,4,hò,,hô,3hhu,が,∅,か,∅,ㅎ,ㅏ,∅
68,心,9067,x,i,n,1,s,a,m,1,sîm,,sim,1xin,し,ん,し,ん,ㅅ,ㅣ,ㅁ
69,日,9296,r,i,∅,4,j,a,t,6,ngit,ngid5,,5nyiq,に,ち,じ,つ,ㅇ,ㅣ,ㄹ
70,白,9302,b,ai,∅,2,b,aa,k,6,pha̍k,pag6,,5baq,びゃ,く,は,く,ㅂ,ㅐ,ㄱ
71,年,9307,n,ia,n,2,n,i,n,4,ngièn,ngian2,nî,3nyi,ね,ん,で,ん,ㄴ,ㅕ,ㄴ
72,曜,9308,∅,yao,∅,4,j,iu,∅,6,,,iāu,,よ,う,よ,う,ㅇ,ㅛ,∅
73,南,9311,,,,2,n,aa,m,4,nàm,,lâm,3noe,な,ん,だ,ん,ㄴ,ㅏ,ㅁ
74,東,9312,d,o,ng,1,d,u,ng,1,tûng,,tang,1ton,つ,う,と,う,ㄷ,ㅗ,ㅇ
75,北,9313,b,ei,∅,3,b,a,k,1,pet,,pak,4poq,ほ,く,ほ,く,ㅂ,ㅜ,ㄱ
76,隶,9576,,,,,,,,,,,,,い,∅,い,∅,ㅇ,ㅣ,∅
77,文,9660,∅,we,n,2,m,a,n,4,vùn,vun2,bûn,3ven,も,ん,ぶ,ん,ㅁ,ㅜ,ㄴ
78,森,9667,s,e,n,1,s,a,m,1,,,serm,,し,ん,し,ん,ㅅ,ㅏ,ㅁ
79,酒,9732,j,iu,∅,3,z,au,∅,2,chiú,jiu3,chiú,2jieu,しゅ,∅,しゅ,う,ㅈ,ㅜ,∅
80,火,9837,h,uo,∅,3,f,o,∅,2,fó,fo3,,2hu,か,∅,か,∅,ㅎ,ㅘ,∅
81,柄,9848,b,i,ng,3,b,e,ng,3,,,,,ひょ,う,へ,い,ㅂ,ㅕ,ㅇ
82,中,9872,zh,o,ng,1,z,u,ng,1,chûng,zung1,tiong,1tson,ちゅ,う,ちゅ,う,ㅈ,ㅜ,ㅇ
83,雨,9885,∅,yu,∅,3,j,yu,∅,5,yí,i3,,3hhy,う,∅,う,∅,ㅇ,ㅜ,∅
84,㐁,10075,t,ia,n,4,t,i,m,2,,,,,て,ん,て,ん,ㅊ,ㅓ,ㅁ
85,㐆,10081,∅,yi,n,3,z,aa,n,2,,,,,,,,,ㅇ,ㅡ,ㄴ
86,㐭,10121,l,i,n,3,,,,,,,,,,,,,ㄹ,ㅡ,ㅁ
87,㐱,10125,zh,e,n,3,c,a,n,2,,,,,,,,,ㅈ,ㅣ,ㄴ
88,㐲,10126,d,ai,∅,4,d,aai,∅,6,,,,,,,,,ㄷ,ㅐ,∅
89,㐸,10132,q,ia,n,4,g,i,m,1,,,,,,,,,ㅎ,ㅡ,ㅁ
90,㑁,10141,zh,uo,∅,1,z,yu,t,3,,,,,,,,,ㅊ,ㅜ,ㄹ
91,㑃,10143,∅,ao,∅,3,∅,au,∅,2,,,,,,,,,ㅇ,ㅛ,∅
92,㑉,10149,s,u,∅,4,c,u,k,1,,,,,,,,,ㅅ,ㅜ,ㄱ
93,㑗,10173,sh,e,n,1,s,aa,n,1,,,,,,,,,ㅅ,ㅣ,ㄴ
94,㑙,10175,d,ie,∅,2,d,i,p,6,,,,,,,,,ㅈ,ㅓ,ㅂ
95,㑛,10177,s,u,∅,4,c,u,k,1,,,,,,,,,ㅅ,ㅗ,ㄱ
96,㑜,10178,∅,yi,∅,4,z,aai,∅,6,,,,,,,,,ㅈ,ㅓ,ㄹ
97,㑞,10180,,,,,,,,,,,,,,,,,ㅇ,ㅣ,ㅇ
98,㑟,10181,b,e,ng,3,m,a,ng,1,,,,,,,,,ㅍ,ㅐ,ㅇ
99,㑥,10187,∅,yi,∅,4,z,i,∅,6,,,,,,,,,ㅇ,ㅣ,∅
100,㑦,10188,l,i,∅,4,l,eoi,∅,6,,,,,,,,,ㄹ,ㅕ,∅
101,㑮,10196,h,u,n,2,w,a,n,4,,,,,,,,,ㅎ,ㅗ,ㄴ
102,㑳,10201,zh,ou,∅,4,z,au,∅,3,,,,,,,,,ㅊ,ㅜ,∅
103,㑵,10203,h,a,n,4,z,a,t,6,,,,,,,,,ㅈ,ㅣ,ㄹ
104,㑻,10209,m,a,∅,4,m,aa,∅,6,,,,,,,,,ㅁ,ㅏ,ㄹ
105,㑿,10213,zh,ao,∅,4,c,oe,k,3,,,,,,,,,ㅅ,ㅗ,∅
106,㒄,10218,r,a,n,3,ng,a,m,4,,,,,,,,,ㅇ,ㅕ,ㄴ
107,㒅,10219,q,i,∅,3,k,ai,∅,2,,,,,,,,,ㄱ,ㅖ,∅
108,㒇,10221,∅,wu,∅,3,∅,ng,∅,5,,,,,,,,,ㅁ,ㅜ,∅
109,㒈,10222,h,a,n,4,h,o,n,6,,,,,,,,,ㄱ,ㅏ,ㅁ
110,㒊,10224,s,e,∅,4,s,aa,p,1,,,,,,,,,ㅅ,ㅡ,ㅂ
111,㒋,10225,,,,,s,i,∅,1,,,,,,,,,ㅅ,ㅣ,∅
112,㒌,10226,,,,,,,,,,,,,,,,,ㄱ,ㅕ,ㅇ
113,㒓,10233,t,a,∅,4,t,aa,t,3,,,,,,,,,ㄷ,ㅏ,ㄹ
114,㒔,10234,sh,u,∅,3,s,u,k,6,,,,,,,,,ㄷ,ㅗ,ㄱ
115,㒚,10240,∅,we,n,3,w,aa,n,2,,,,,,,,,ㅇ,ㅡ,ㄴ
116,㒝,10243,m,ie,∅,4,m,i,t,6,,,,,,,,,ㅁ,ㅕ,ㄹ
117,㒟,10245,n,iao,∅,3,n,iu,∅,5,,,,,,,,,ㄴ,ㅛ,∅
118,㒠,10246,x,ie,∅,4,h,aai,∅,6,,,,,,,,,ㅎ,ㅐ,∅
119,㒥,10251,f,e,ng,1,f,u,ng,1,,,,,,,,,ㅍ,ㅜ,ㅇ
120,㒨,10254,,,,,,,,,,,,,,,,,ㅅ,ㅓ,ㄴ
121,㒳,10265,,,,,,,,,,,,,,,,,ㄹ,ㅑ,ㅇ
122,㒴,10266,g,u,∅,3,gw,a,t,1,,,,,,,,,ㄱ,ㅗ,ㄹ
123,㒸,10270,s,ui,∅,4,s,eoi,∅,6,,,,,,,,,ㅅ,ㅜ,∅
124,㒹,10271,,,,,,,,,,,,,,,,,ㅈ,ㅓ,ㄴ
125,㒼,10274,m,a,n,2,m,u,n,4,,,,,ば,ん,,,ㅁ,ㅏ,ㄴ
126,㒽,10275,q,ua,n,1,h,yu,n,1,,,,,,,,,ㄱ,ㅝ,ㄴ
127,㒾,10276,sh,i,∅,4,s,i,∅,6,,,,,,,,,ㅅ,ㅣ,∅
128,㓃,10281,d,u,∅,4,d,ou,∅,3,,,,,,,,,ㅌ,ㅏ,∅
129,㓄,10282,zh,e,n,4,s,aa,m,2,,,,,,,,,ㅊ,ㅣ,ㅁ
130,㓊,10288,d,o,ng,4,d,u,ng,6,,,,,,,,,ㄷ,ㅗ,ㅇ
131,㓖,10300,b,i,∅,4,b,i,t,1,,,,,,,,,ㅍ,ㅣ,ㄹ
132,㓚,10304,g,o,ng,1,g,u,ng,1,,,,,,,,,ㄱ,ㅗ,ㅇ
133,㓝,10307,,,,,,,,,,,,,,,,,ㅎ,ㅕ,ㅇ
134,㓠,10310,d,ia,n,4,d,i,m,3,,,,,,,,,ㅈ,ㅓ,ㅁ
135,㓢,10312,l,uo,∅,4,l,o,k,3,,,,,,,,,ㄹ,ㅏ,ㄱ
136,㓣,10313,q,ia,∅,4,z,a,k,6,,,,,,,,,ㄱ,ㅏ,ㅂ
137,㓤,10314,q,ia,∅,4,k,i,t,3,,,,,,,,,ㄱ,ㅏ,ㄹ
138,㓱,10327,t,ou,∅,2,,,,,,,,,,,,,ㄷ,ㅜ,∅
139,㓷,10333,∅,yi,∅,4,j,i,∅,6,,,,,,,,,ㅇ,ㅢ,∅
140,㓹,10335,r,ui,∅,4,j,eoi,∅,6,,,,,,,,,ㅊ,ㅔ,∅
141,㓺,10336,j,ia,n,1,g,i,n,1,,,,,,,,,ㄱ,ㅓ,ㄴ
142,㓻,10337,,,,,,,,,,,,,,,,,ㄱ,ㅏ,ㅇ
143,㓼,10338,ch,i,∅,4,,,,,,,,,,,,,ㅊ,ㅣ,ㄹ
144,㓽,10339,ch,o,ng,2,s,u,ng,4,,,,,,,,,ㅅ,ㅜ,ㅇ
145,㔂,10344,l,i,n,2,l,eo,n,4,,,lân,,,,,,ㄹ,ㅣ,ㄴ
146,㔄,10346,s,u,∅,4,s,u,k,1,,,,,,,,,ㅅ,ㅗ,ㄱ
147,㔆,10348,z,a,n,4,c,aa,m,5,,,,,,,,,ㅈ,ㅏ,ㅁ
148,㔊,10352,zh,a,n,3,t,a,n,2,,,,,,,,,ㅈ,ㅓ,ㄴ
149,㔋,10353,j,ia,n,1,h,a,m,3,,,,,,,,,ㄱ,ㅏ,ㅁ
150,㔌,10354,z,ou,∅,4,s,ei,∅,3,,,,,,,,,ㅊ,ㅜ,∅
151,㔍,10355,ch,ua,∅,1,c,a,p,3,,,,,,,,,ㅊ,ㅘ,ㄹ
152,㔎,10356,x,ie,∅,4,s,i,t,3,,,,,,,,,ㅅ,ㅓ,ㄹ
153,㔏,10357,l,i,∅,4,g,a,k,3,,,,,,,,,ㄹ,ㅕ,ㄱ
154,㔒,10360,x,i,∅,2,kw,ai,∅,4,,,,,,,,,ㅎ,ㅠ,∅
155,㔓,10361,j,ia,n,3,g,i,n,2,,,,,,,,,ㄱ,ㅓ,ㄴ
156,㔗,10366,f,ei,∅,4,b,ei,∅,6,,,,,,,,,ㅂ,ㅣ,∅
157,㔙,10369,b,e,ng,1,p,i,ng,1,,,,,,,,,ㅂ,ㅕ,ㅇ
158,㔝,10374,l,ia,ng,3,l,oe,ng,5,,,,,,,,,ㄹ,ㅑ,ㅇ
159,㔞,10376,k,uai,∅,4,f,ai,∅,3,,,,,,,,,ㄱ,ㅚ,∅
160,丂,10383,k,ao,∅,3,h,aau,∅,2,kháu,,,,こ,う,こ,う,ㄱ,ㅛ,∅
161,丄,10384,,,,,,,,,,,,,じょ,う,しょ,う,ㅅ,ㅏ,ㅇ
162,丅,10385,,,,,,,,,,,,,げ,∅,か,∅,ㅎ,ㅏ,∅
163,丈,10387,zh,a,ng,4,z,oe,ng,6,chhong,,,3zan,じょ,う,ちょ,う,ㅈ,ㅏ,ㅇ
164,上,10388,sh,a,ng,4,s,oe,ng,6,song,song4,,3zaan,じょ,う,しょ,う,ㅅ,ㅏ,ㅇ
165,下,10389,x,ia,∅,4,h,aa,∅,6,hâ,ha4,,3hho,げ,∅,か,∅,ㅎ,ㅏ,∅
166,与,10392,,,,,,,,,,,,,よ,∅,よ,∅,ㅇ,ㅕ,∅
167,丏,10393,m,ia,n,3,m,i,n,5,,,bián,,め,ん,べ,ん,ㅁ,ㅕ,ㄴ
168,丐,10394,g,ai,∅,4,k,oi,∅,3,,,kài,2ke,か,い,か,い,ㄱ,ㅐ,∅
169,丑,10395,ch,ou,∅,3,c,au,∅,2,chhú,,,,ちゅ,∅,ちゅ,う,ㅊ,ㅜ,ㄱ
170,且,10398,q,ie,∅,3,c,e,∅,2,chhiá,,chhiáⁿ,2qia,しゃ,∅,しゃ,∅,ㅊ,ㅏ,∅
171,丕,10399,p,i,∅,1,p,ei,∅,1,,,i,,ひ,∅,ひ,∅,ㅂ,ㅣ,∅
172,世,10400,sh,i,∅,4,s,ai,∅,3,sṳ,,sì,2sr,せ,∅,せ,い,ㅅ,ㅔ,∅
173,丗,10401,,,,,,,,,,,,,せ,い,,,ㅅ,ㅔ,∅
174,丘,10402,q,iu,∅,1,j,au,∅,1,hiû,,u,1qieu,く,∅,きゅ,う,ㄱ,ㅜ,∅
175,丞,10408,ch,e,ng,2,s,i,ng,4,sṳ̀n,,sêng,3zen,じょ,う,しょ,う,ㅅ,ㅡ,ㅇ
176,丟,10409,d,iu,∅,1,d,iu,∅,1,tiû,,tiu,1tieu,ちゅ,∅,ちゅ,う,ㅈ,ㅜ,∅
177,丠,10410,,,,,,,,,,,,,く,∅,きゅ,う,ㄱ,ㅜ,∅
178,丣,10413,,,,,,,,,,,,,ゆ,∅,ゆ,う,ㅇ,ㅠ,∅
179,並,10416,b,i,ng,4,b,i,ng,6,pin,,pēng,3bin,びょ,う,へ,い,ㅂ,ㅕ,ㅇ
180,丩,10418,,,,,,,,,,,,,く,∅,きゅ,う,ㄱ,ㅜ,∅
181,个,10419,,,,,,,,,,,,,か,∅,か,∅,ㄱ,ㅐ,∅
182,丫,10420,∅,ya,∅,1,∅,aa,∅,1,,,a,,あ,∅,あ,∅,ㅇ,ㅏ,∅
183,丮,10422,j,i,∅,3,g,i,k,1,,,,,きゃ,く,け,き,ㄱ,ㅡ,ㄱ
184,丯,10423,j,ie,∅,4,g,aai,∅,3,,,,,か,い,か,い,ㄱ,ㅐ,∅
185,丰,10424,f,e,ng,1,f,u,ng,1,,,,,ふ,∅,ほ,う,ㅂ,ㅗ,ㅇ
186,丱,10425,g,ua,n,4,gw,aa,n,3,,,koàn,,け,ん,か,ん,ㄱ,ㅘ,ㄴ
187,串,10426,ch,ua,n,4,c,yu,n,3,chhon,,chhǹg,2tshoe,せ,ん,せ,ん,ㄱ,ㅘ,ㄴ
188,丳,10427,ch,a,n,3,c,aa,n,2,,,,,せ,ん,さ,ん,ㅊ,ㅏ,ㄴ
189,丵,10429,zh,uo,∅,2,z,o,k,6,,,,,さ,く,,,ㅊ,ㅏ,ㄱ
190,丸,10431,∅,wa,n,2,j,yu,n,4,yèn,yan2,oân,3hhuoe,が,ん,か,ん,ㅎ,ㅘ,ㄴ
191,丹,10432,d,a,n,1,d,aa,n,1,tân,,tan,1te,た,ん,た,ん,ㄷ,ㅏ,ㄴ
192,主,10434,zh,u,∅,3,z,yu,∅,2,chú,,chú,2tsr,す,∅,しゅ,∅,ㅈ,ㅜ,∅
193,丼,10435,d,a,n,3,d,a,m,2,,,tôm,,しょ,う,せ,い,ㅈ,ㅓ,ㅇ
194,丽,10436,,,,,,,,,,,,,,,,,ㄹ,ㅕ,∅
195,乀,10438,f,u,∅,2,f,a,t,1,,,,,ふ,つ,,,ㅂ,ㅜ,ㄹ
196,乂,10440,∅,yi,∅,4,ng,aai,∅,6,,,gāi,,げ,∅,が,い,ㅇ,ㅖ,∅
197,乃,10441,n,ai,∅,3,n,aai,∅,5,,,nái,3ne,な,い,だ,い,ㄴ,ㅐ,∅
198,久,10443,j,iu,∅,3,g,au,∅,2,kiú,giu3,kiú,,く,∅,きゅ,う,ㄱ,ㅜ,∅
199,之,10449,zh,i,∅,1,z,i,∅,1,chṳ̂,,chi,1tsr,し,∅,し,∅,ㅈ,ㅣ,∅
200,乍,10451,zh,a,∅,4,z,aa,∅,3,,,,,じゃ,∅,さ,∅,ㅅ,ㅏ,∅
201,乎,10452,h,u,∅,1,f,u,∅,4,fû,fu2,ho͘,3hhu,ご,∅,こ,∅,ㅎ,ㅗ,∅
202,乏,10453,f,a,∅,2,f,a,t,6,,fad6,hoa̍t,,ぼ,う,ほ,う,ㅍ,ㅣ,ㅂ
203,乑,10455,∅,yi,n,2,j,a,m,4,,,,,ご,ん,ぎ,ん,ㅇ,ㅡ,ㅁ
204,乖,10460,g,uai,∅,1,gw,aai,∅,1,kôai,,koai,,け,∅,か,い,ㄱ,ㅚ,∅
205,乗,10461,,,,,,,,,,,,,じょ,う,しょ,う,ㅅ,ㅡ,ㅇ
206,乘,10462,ch,e,ng,2,s,i,ng,4,sṳ̀n,,sêng,2tshen,じょ,う,しょ,う,ㅅ,ㅡ,ㅇ
207,乚,10463,,,,,,,,,,,,,お,ん,い,ん,ㅇ,ㅡ,ㄴ
208,乜,10465,m,ie,∅,1,m,a,t,1,,,,,め,∅,ば,∅,ㅁ,ㅑ,∅
209,乞,10466,q,i,∅,3,h,a,t,1,khiet,,it,4qiq,こ,ち,き,つ,ㄱ,ㅓ,ㄹ
210,也,10467,∅,ye,∅,3,j,aa,∅,5,ya,,,3hha,や,∅,や,∅,ㅇ,ㅑ,∅
211,乳,10487,r,u,∅,3,j,yu,∅,5,yî,,jí,3zr,にゅ,う,じゅ,∅,ㅇ,ㅠ,∅
212,乾,10498,g,a,n,1,g,o,n,1,kôn,,koaⁿ,1koe,か,ん,か,ん,ㄱ,ㅓ,ㄴ
213,亂,10502,l,ua,n,4,l,yu,n,6,lon,,loān,3loe,ら,ん,ら,ん,ㄹ,ㅏ,ㄴ
214,亄,10504,∅,yi,∅,4,j,i,∅,4,,,,,い,∅,い,∅,ㅇ,ㅢ,∅
215,了,10506,l,e,∅,0,l,iu,∅,5,lé,ê3,liáu,5leq,りょ,う,りょ,う,ㄹ,ㅛ,∅
216,予,10508,∅,yu,∅,3,j,yu,∅,5,yì,,ú,,よ,∅,よ,∅,ㅇ,ㅕ,∅
217,事,10511,sh,i,∅,4,s,i,∅,6,sṳ,si4,,3zr,じ,∅,し,∅,ㅅ,ㅏ,∅
218,亍,10512,ch,u,∅,4,c,u,k,1,,,,,と,く,ちょ,く,ㅊ,ㅗ,ㄱ
219,于,10513,∅,yu,∅,2,j,yu,∅,4,,,,,う,∅,,,ㅇ,ㅜ,∅
220,云,10516,∅,yu,n,2,w,a,n,4,yùn,,,3hhyn,う,ん,う,ん,ㅇ,ㅜ,ㄴ
221,互,10517,h,u,∅,4,w,u,∅,6,fu,fu1,hō͘,,ご,∅,こ,∅,ㅎ,ㅗ,∅
222,井,10519,j,i,ng,3,z,e,ng,2,chiáng,,,2jin,しょ,う,せ,い,ㅈ,ㅓ,ㅇ
223,亖,10520,,,,,,,,,,,,,し,∅,し,∅,ㅅ,ㅏ,∅
224,亙,10523,g,e,n,4,g,a,ng,2,,,kèng,,こ,う,こ,う,ㄱ,ㅡ,ㅇ
225,些,10525,x,ie,∅,1,s,e,∅,1,,xia1,sia,,さ,∅,しゃ,∅,ㅅ,ㅏ,∅
226,亟,10529,j,i,∅,2,g,i,k,1,,,,,こ,∅,き,∅,ㄱ,ㅡ,ㄱ
227,亡,10530,∅,wa,ng,2,m,o,ng,4,mòng,mong2,bông,3vaan,も,う,ぼ,う,ㅁ,ㅏ,ㅇ
228,亢,10531,k,a,ng,4,k,o,ng,3,,,,,こ,う,,,ㅎ,ㅏ,ㅇ
229,交,10533,j,iao,∅,1,g,aau,∅,1,kâu,,kau,1jiau,きょ,う,こ,う,ㄱ,ㅛ,∅
230,亥,10534,h,ai,∅,4,h,oi,∅,6,hoi,,hǎi,,が,い,か,い,ㅎ,ㅐ,∅
