character	index	tone_label	Zhengzhang_onset	Zhengzhang_nucleus	Zhengzhang_coda	Pan_onset	Pan_nucleus	Pan_coda	Shao_onset	Shao_nucleus	Shao_coda	Pulleyblank_onset	Pulleyblank_nucleus	Pulleyblank_coda	Li_onset	Li_nucleus	Li_coda	Karlgren_onset	Karlgren_nucleus	Karlgren_coda
一	5611001	checked	ʔ	iɪ	t̚	ʔ	i	t̚	ʔ	je	t̚	ʔ	i	t̚	ʔ	iĕ	t̚	ʔ	i̯ĕ	t̚
丁	5611004	level	ʈ	ˠɛ	ŋ	ʈ	ᵚæ	ŋ	ȶ	ɐ	ŋ	ʈ	əɨj	ŋ	ȶ	ɛ	ŋ	ȶ	æ	ŋ
丂	5611009	rising	kʰ	ɑu	∅	kʰ	ɑu	∅	kʰ	ɑu	∅	kʰ	aw	∅	kʰ	ɑu	∅	kʰ	ɑu	∅
七	5611012	checked	t͡sʰ	iɪ	t̚	t͡sʰ	i	t̚	t͡sʰ	je	t̚	t͡sʰ	i	t̚	t͡sʰ	iĕ	t̚	t͡sʰ	i̯ĕ	t̚
丄	5611016	rising	d͡ʑ	ɨɐ	ŋ	d͡ʑ	iɐ	ŋ	d͡ʑ	iɑ	ŋ	d͡ʑ	ɨa	ŋ	ʑ	ia	ŋ	ʑ	i̯a	ŋ
丅	5611020	rising	ɦ	ˠa	∅	ɦ	ᵚa	∅	ɣ	a	∅	ɦ	aɨ	∅	ɣ	a	∅	ɣ	a	∅
万	5611023	departing	m	ʉɐ	n	m	ʷiɐ	n	m	iuɐ	n	m	ua	n	m	iuɐ	n	m	i̯wɐ	n
丈	5611026	rising	ɖ	ɨɐ	ŋ	ɖ	iɐ	ŋ	ȡ	iɑ	ŋ	ɖ	ɨa	ŋ	ȡ	ia	ŋ	ȡʱ	i̯a	ŋ
三	5611031	level	s	ɑ	m	s	ɑ	m	s	ɑ	m	s	a	m	s	ɑ	m	s	ɑ	m
上	5611034	rising	d͡ʑ	ɨɐ	ŋ	d͡ʑ	iɐ	ŋ	d͡ʑ	iɑ	ŋ	d͡ʑ	ɨa	ŋ	ʑ	ia	ŋ	ʑ	i̯a	ŋ
下	5611038	rising	ɦ	ˠa	∅	ɦ	ᵚa	∅	ɣ	a	∅	ɦ	aɨ	∅	ɣ	a	∅	ɣ	a	∅
不	5611042	level	p	ɨu	∅	p	iu	∅	p	iəu	∅	p	uw	∅	p	iu	∅	p	i̯ə̯u	∅
与	5611045	rising	j	ɨʌ	∅	j	iɔ	∅	∅	iɔ	∅	j	ɨə	̆	∅	iɔ	∅	∅	i̯wo	∅
丏	5611049	rising	m	e	n	m	e	n	m	ɛ	n	m	ɛ	n	m	e	n	m	ie	n
丐	5611052	departing	k	ɑi	∅	k	ɑi	∅	k	ɑi	∅	k	aj	∅	k	ɑi	∅	k	ɑi	∅
丑	5611055	rising	ʈʰ	ɨu	∅	ʈʰ	iu	∅	ȶʰ	iəu	∅	ʈʰ	uw	∅	ȶʰ	iu	∅	ȶʰ	i̯ə̯u	∅
丗	5611059	departing	ɕ	iᴇi	∅	ɕ	iɛi	∅	ɕ	jæi	∅	ɕ	iaj	∅	ɕ	iɛi	∅	ɕ	i̯ɛi	∅
且	5611062	level	t͡s	ɨʌ	∅	t͡s	iɔ	∅	t͡s	iɔ	∅	t͡s	ɨə	̆	t͡s	iɔ	∅	t͡s	i̯wo	∅
丕	5611066	level	pʰ	ˠiɪ	∅	pʰ	ᵚi	∅	pʰ	iɪ	∅	pʰ	ji	∅	pʰ	ji	∅	pʰ	i	∅
世	5611069	departing	ɕ	iᴇi	∅	ɕ	iɛi	∅	ɕ	jæi	∅	ɕ	iaj	∅	ɕ	iɛi	∅	ɕ	i̯ɛi	∅
丘	5611072	level	kʰ	ɨu	∅	kʰ	iu	∅	kʰ	iəu	∅	kʰ	uw	∅	kʰ	iu	∅	kʰ	i̯ə̯u	∅
𠀒	5611079	level	ɦ	uo	∅	ɦ	uo	∅	ɣ	o	∅	ɦ	ɔ	∅	ɣ	o	∅	ɣ	uo	∅
𠀔	5611082	checked	k	ɨu	t̚	k	iu	t̚	k	iuə	t̚	k	u	t̚	k	iuə	t̚	k	i̯uə	t̚
丞	5611086	level	d͡ʑ	ɨ	ŋ	d͡ʑ	ɨ	ŋ	d͡ʑ	ie	ŋ	d͡ʑ	i	ŋ	ʑ	iə	ŋ	ʑ	i̯ə	ŋ
丟	5611089	level	t	iɪu	∅	t	ɨu	∅	t	ieu	∅	t	jiw	∅	t	iĕu	∅	t	ieu	∅
丠	5611092	level	kʰ	ɨu	∅	kʰ	iu	∅	kʰ	iəu	∅	kʰ	uw	∅	kʰ	iu	∅	kʰ	i̯ə̯u	∅
㐁	5611096	departing	tʰ	ʌ	m	tʰ	ə	m	tʰ	ɒ	m	tʰ	ə	m	tʰ	ᴀ	m	tʰ	ă	m
𠀘	5611099	level	tʰ	e	n	tʰ	e	n	tʰ	ɛ	n	tʰ	ɛ	n	tʰ	e	n	tʰ	ie	n
丣	5611103	rising	j	ɨu	∅	j	iu	∅	∅	iəu	∅	j	uw	∅	∅	iu	∅	∅	i̯ə̯u	∅
丽	5611106	departing	l	ei	∅	l	ei	∅	l	ɛi	∅	l	ɛj	∅	l	ei	∅	l	iei	∅
並	5611109	rising	b	e	ŋ	b	e	ŋ	b	ɛ	ŋ	b	ɛj	ŋ	b	e	ŋ	bʱ	ie	ŋ
𠁁	5611114	rising	d	əu	∅	d	əu	∅	d	əu	∅	d	əw	∅	d	u	∅	dʱ	ə̯u	∅
丨	5611117	rising	k	uə	n	k	uo	n	k	uə	n	k	wə	n	k	uə	n	k	uə	n
丩	5611120	level	k	ɨu	∅	k	iu	∅	k	iəu	∅	k	uw	∅	k	iu	∅	k	i̯ə̯u	∅
个	5611124	departing	k	ɑ	∅	k	ɑ	∅	k	ɑ	∅	k	a	∅	k	ɑ	∅	k	ɑ	∅
丫	5611127	level	ʔ	ˠa	∅	ʔ	ᵚa	∅	ʔ	a	∅	ʔ	aɨ	∅	ʔ	a	∅	ʔ	a	∅
中	5611130	level	ʈ	ɨu	ŋ	ʈ	iu	ŋ	ȶ	iu	ŋ	ʈ	uw	ŋ	ȶ	iu	ŋ	ȶ	i̯u	ŋ
丮	5611134	checked	k	ˠiæ	k̚	k	ᵚia	k̚	k	ia	k̚	k	iaj	k̚	k	iɐ	k̚	k	iɐ	k̚
丯	5611137	departing	k	ˠɛi	∅	k	ᵚæi	∅	k	ɐi	∅	k	əɨj	∅	k	ɛi	∅	k	ăi	∅
丰	5611141	level	pʰ	ɨo	ŋ	pʰ	io	ŋ	pʰ	io	ŋ	pʰ	uaw	ŋ	pʰ	io	ŋ	pʰ	i̯wo	ŋ
丱	5611144	departing	k	ˠua	n	k	ʷᵚa	n	k	uɐ	n	k	waɨ	n	k	ua	n	k	wa	n
𠁥	5611147	rising	k	ˠuɛ	∅	k	ʷᵚæ	∅	k	uæi	∅	k	waɨj	∅	k	uɛ	∅	k	wai	∅
串	5611150	departing	k	ˠua	n	k	ʷᵚa	n	k	uɐ	n	k	waɨ	n	k	ua	n	k	wa	n
丳	5611154	rising	t͡ʃʰ	ˠɛ	n	ʈ͡ʂʰ	ᵚæ	n	t͡ʃʰ	æ	n	ʈ͡ʂʰ	əɨ	n	t͡ʃʰ	ɛ	n	ʈ͡ʂʰ	ă	n
𠁭	5611157	level	ɡ	iᴇ	∅	ɡ	iɛ	∅	ɡ	jɛ	∅	g	iə	̆	ɡ	ie	∅	g	ie	̯
丵	5611160	checked	d͡ʒ	ˠʌ	k̚	ɖ͡ʐ	ᵚɔ	k̚	d͡ʒ	ɔ	k̚	ɖ͡ʐ	aɨw	k̚	d͡ʒ	ɔ	k̚	ɖ͡ʐʱ	ɔ	k̚
丶	5611164	rising	ʈ	ɨo	∅	ʈ	io	∅	ȶ	io	∅	ʈ	uə	̆	ȶ	io	∅	ȶ	i̯u	∅
丸	5611167	level	ɦ	uɑ	n	ɦ	ʷɑ	n	ɣ	uɑ	n	ɦ	wa	n	ɣ	uɑ	n	ɣ	uɑ	n
丹	5611170	level	t	ɑ	n	t	ɑ	n	t	ɑ	n	t	a	n	t	ɑ	n	t	ɑ	n
主	5611174	rising	t͡ɕ	ɨo	∅	t͡ɕ	io	∅	t͡ɕ	io	∅	c	uə	̆	t͡ɕ	io	∅	t͡ɕ	i̯u	∅
丼	5611177	rising	t	ʌ	m	t	ə	m	t	ɒ	m	t	ə	m	t	ᴀ	m	t	ă	m
𠂄	5611180	level	h	uɑ	n	h	ʷɑ	n	x	uɑ	n	h	wa	n	x	uɑ	n	x	uɑ	n
丿	5611183	departing	j	iᴇi	∅	j	iɛi	∅	∅	jæi	∅	j	iaj	∅	∅	iɛi	∅	∅	i̯ɛi	∅
乀	5611187	checked	pʰ	ɨu	t̚	pʰ	iu	t̚	pʰ	iuə	t̚	pʰ	u	t̚	pʰ	iuə	t̚	pʰ	i̯uə	t̚
乂	5611190	departing	ŋ	ɨɐi	∅	ŋ	iɐi	∅	ŋ	iɐi	∅	ŋ	ɨaj	∅	ŋ	iɐi	∅	ŋ	i̯ɐi	∅
乃	5611193	rising	n	ʌi	∅	n	əi	∅	n	ɒi	∅	n	əj	∅	n	ᴀi	∅	n	ɑ̆i	∅
𠂆	5611197	departing	j	iᴇi	∅	j	iɛi	∅	∅	jæi	∅	j	iaj	∅	∅	iɛi	∅	∅	i̯ɛi	∅
久	5611200	rising	k	ɨu	∅	k	iu	∅	k	iəu	∅	k	uw	∅	k	iu	∅	k	i̯ə̯u	∅
之	5611203	level	t͡ɕ	ɨ	∅	t͡ɕ	ɨ	∅	t͡ɕ	ie	∅	c	ɨ	∅	t͡ɕ	iə	∅	t͡ɕ	i	∅
尹	5611207	rising	j	iuɪ	n	j	ʷi	n	∅	jue	n	j	wi	n	∅	iuĕ	n	∅	i̯uĕ	n
乍	5611210	departing	d͡ʒ	ˠa	∅	ɖ͡ʐ	ᵚa	∅	d͡ʒ	a	∅	ɖ͡ʐ	aɨ	∅	d͡ʒ	a	∅	ɖ͡ʐʱ	a	∅
乎	5611213	level	ɦ	uo	∅	ɦ	uo	∅	ɣ	o	∅	ɦ	ɔ	∅	ɣ	o	∅	ɣ	uo	∅
乏	5611217	checked	b	ɨɐ	p̚	b	iɐ	p̚	b	iɐ	p̚	b	ua	p̚	b	iɐ	p̚	bʱ	i̯wɐ	p̚
𠂔	5611220	rising	t͡ʃ	ɨ	∅	ʈ͡ʂ	ɨ	∅	t͡ʃ	ie	∅	ʈ͡ʂ	ɨ	∅	t͡ʃ	iə	∅	ʈ͡ʂ	i	∅
𠂕	5611223	rising	ɕ	ˠiɪ	∅	ɕ	ᵚi	∅	ɕ	iɪ	∅	ɕ	ji	∅	ɕ	ji	∅	ɕ	i	∅
乑	5611226	level	ŋ	ˠiɪ	m	ŋ	ᵚi	m	ŋ	ie	m	ŋ	ji	m	ŋ	jə	m	ŋ	i̯ə	m
㐆	5611229	level	ʔ	ɨi	∅	ʔ	ɨi	∅	ʔ	iəi	∅	ʔ	ɨj	∅	ʔ	iəi	∅	ʔ	e̯i	∅
𠂢	5611232	departing	pʰ	ˠɛ	∅	pʰ	ᵚæ	∅	pʰ	æi	∅	pʰ	aɨj	∅	pʰ	ɛ	∅	pʰ	ai	∅
𠂤	5611235	level	t	uʌi	∅	t	uoi	∅	t	uɒi	∅	t	wəj	∅	t	uᴀi	∅	t	uɑ̆i	∅
乖	5611238	level	k	ˠuɛi	∅	k	ʷᵚæi	∅	k	uɐi	∅	k	wəɨj	∅	k	uɛi	∅	k	wăi	∅
乗	5611241	level	ʑ	ɨ	ŋ	ʑ	ɨ	ŋ	ʑ	ie	ŋ	ʑ	i	ŋ	d͡ʑ	iə	ŋ	d͡ʑʰ	i̯ə	ŋ
𠂷	5611244	rising	ɦ	ˠɛ	ŋ	ɦ	ᵚæ	ŋ	ɣ	ɐ	ŋ	ɦ	əɨj	ŋ	ɣ	ɛ	ŋ	ɣ	æ	ŋ
𠂹	5611247	level	d͡ʑ	iuᴇ	∅	d͡ʑ	ʷiɛ	∅	d͡ʑ	juɛ	∅	d͡ʑ	wiə	̆	ʑ	iue	∅	ʑ	wie	̯
𠂼	5611250	rising	d	e	m	d	e	m	d	ɛ	m	d	ɛ	m	d	e	m	dʱ	ie	m
乙	5611253	checked	ʔ	ˠiɪ	t̚	ʔ	ᵚi	t̚	ʔ	ie	t̚	ʔ	ji	t̚	ʔ	jĕ	t̚	ʔ	i̯ĕ	t̚
乚	5611256	rising	ʔ	ɨ	n	ʔ	ɨ	n	ʔ	iə	n	ʔ	ɨ	n	ʔ	iə	n	ʔ	i̯ə	n
乜	5611259	rising	m	ia	∅	m	ia	∅	m	ia	∅	m	ia	∅	m	ia	∅	m	i̯a	∅
九	5611262	rising	k	ɨu	∅	k	iu	∅	k	iəu	∅	k	uw	∅	k	iu	∅	k	i̯ə̯u	∅
乞	5611265	checked	kʰ	ɨ	t̚	kʰ	ɨ	t̚	kʰ	iə	t̚	kʰ	ɨ	t̚	kʰ	iə	t̚	kʰ	i̯ə	t̚
也	5611268	rising	j	ia	∅	j	ia	∅	∅	ia	∅	j	ia	∅	∅	ia	∅	∅	i̯a	∅
𠃚	5611271	level	k	iɪu	∅	k	ɨu	∅	k	ieu	∅	k	jiw	∅	k	iĕu	∅	k	ieu	∅
乳	5611274	rising	ȵ	ɨo	∅	ȵ	io	∅	ȵʑ	io	∅	ȵ	uə	̆	ȵ	io	∅	ȵʑ	i̯u	∅
𠃸	5611277	departing	ʔ	ɨ	∅	ʔ	ɨ	∅	ʔ	ie	∅	ʔ	ɨ	∅	ʔ	iə	∅	ʔ	i	∅
乾	5611280	level	k	ɑ	n	k	ɑ	n	k	ɑ	n	k	a	n	k	ɑ	n	k	ɑ	n
亂	5611283	departing	l	uɑ	n	l	ʷɑ	n	l	uɑ	n	l	wa	n	l	uɑ	n	l	uɑ	n
亄	5611286	departing	ʔ	ˠiɪ	∅	ʔ	ᵚi	∅	ʔ	iɪ	∅	ʔ	ji	∅	ʔ	ji	∅	ʔ	i	∅
𠄅	5611289	checked	ŋ	ɨɐ	p̚	ŋ	iɐ	p̚	ŋ	iɐ	p̚	ŋ	ɨa	p̚	ŋ	ia	p̚	ŋ	i̯ɐ	p̚
𠄈	5611292	departing	l	iɪ	n	l	i	n	l	je	n	l	i	n	l	iĕ	n	l	i̯ĕ	n
亅	5611295	checked	ɡ	ʉɐ	t̚	ɡ	ʷiɐ	t̚	ɡ	iuɐ	t̚	g	ua	t̚	ɡ	iuɐ	t̚	g	i̯wɐ	t̚
𠄌	5611298	checked	k	ʉɐ	t̚	k	ʷiɐ	t̚	k	iuɐ	t̚	k	ua	t̚	k	iuɐ	t̚	k	i̯wɐ	t̚
了	5611301	rising	l	eu	∅	l	eu	∅	l	eu	∅	l	ɛw	∅	l	eu	∅	l	ieu	∅
𠄏	5611304	rising	t	eu	∅	t	eu	∅	t	eu	∅	t	ɛw	∅	t	eu	∅	t	ieu	∅
予	5611307	level	j	ɨʌ	∅	j	iɔ	∅	∅	iɔ	∅	j	ɨə	̆	∅	iɔ	∅	∅	i̯wo	∅
𠄔	5611310	rising	ɦ	eu	∅	ɦ	eu	∅	ɣ	eu	∅	ɦ	ɛw	∅	ɣ	eu	∅	ɣ	ieu	∅
事	5611316	departing	t͡ʃ	ɨ	∅	ʈ͡ʂ	ɨ	∅	t͡ʃ	ie	∅	ʈ͡ʂ	ɨ	∅	t͡ʃ	iə	∅	ʈ͡ʂ	i	∅
二	5611319	departing	ȵ	iɪ	∅	ȵ	i	∅	ȵʑ	jɪ	∅	ȵ	i	∅	ȵ	i	∅	ȵʑ	i	∅
亍	5611322	departing	ʈ	ɨo	∅	ʈ	io	∅	ȶ	io	∅	ʈ	uə	̆	ȶ	io	∅	ȶ	i̯u	∅
于	5611325	level	ɦ	ɨo	∅	ɦ	io	∅	ɣ	io	∅	ɦ	uə	̆	ɣ	io	∅	∅	i̯u	∅
云	5611328	level	ɦ	ɨu	n	ɦ	iu	n	ɣ	iuə	n	ɦ	u	n	ɣ	iuə	n	∅	i̯uə	n
互	5611331	departing	ɦ	uo	∅	ɦ	uo	∅	ɣ	o	∅	ɦ	ɔ	∅	ɣ	o	∅	ɣ	uo	∅
五	5611334	rising	ŋ	uo	∅	ŋ	uo	∅	ŋ	o	∅	ŋ	ɔ	∅	ŋ	o	∅	ŋ	uo	∅
井	5611337	rising	t͡s	iᴇ	ŋ	t͡s	iɛ	ŋ	t͡s	iæ	ŋ	t͡s	iaj	ŋ	t͡s	iɛ	ŋ	t͡s	i̯ɛ	ŋ
亖	5611340	departing	s	iɪ	∅	s	i	∅	s	jɪ	∅	s	i	∅	s	i	∅	s	i	∅
亙	5611343	departing	k	ə	ŋ	k	ə	ŋ	k	ə	ŋ	k	ə	ŋ	k	ə	ŋ	k	ə	ŋ
些	5611346	level	s	ia	∅	s	ia	∅	s	ia	∅	s	ia	∅	s	ia	∅	s	i̯a	∅
亞	5611349	departing	ʔ	ˠa	∅	ʔ	ᵚa	∅	ʔ	a	∅	ʔ	aɨ	∅	ʔ	a	∅	ʔ	a	∅
亟	5611352	departing	kʰ	ɨ	∅	kʰ	ɨ	∅	kʰ	ie	∅	kʰ	ɨ	∅	kʰ	iə	∅	kʰ	i	∅
亡	5611355	level	m	ʉɐ	ŋ	m	ʷiɐ	ŋ	m	iuɑ	ŋ	m	ua	ŋ	m	iua	ŋ	m	iwa	ŋ
亢	5611358	level	k	ɑ	ŋ	k	ɑ	ŋ	k	ɑ	ŋ	k	a	ŋ	k	ɑ	ŋ	k	ɑ	ŋ
交	5611361	level	k	ˠau	∅	k	ᵚau	∅	k	au	∅	k	aɨw	∅	k	au	∅	k	au	∅
亥	5611364	rising	ɦ	ʌi	∅	ɦ	əi	∅	ɣ	ɒi	∅	ɦ	əj	∅	ɣ	ᴀi	∅	ɣ	ɑ̆i	∅
亦	5611367	checked	j	iᴇ	k̚	j	iɛ	k̚	∅	iæ	k̚	j	iaj	k̚	∅	iɛ	k̚	∅	i̯ɛ	k̚
亨	5611370	level	h	ˠæ	ŋ	h	ᵚa	ŋ	x	a	ŋ	h	aɨj	ŋ	x	ɐ	ŋ	x	ɐ	ŋ
京	5611373	level	k	ˠiæ	ŋ	k	ᵚia	ŋ	k	ia	ŋ	k	iaj	ŋ	k	iɐ	ŋ	k	i̯ɐ	ŋ
㐭	5611376	rising	l	iɪ	m	l	i	m	l	je	m	l	i	m	l	iə	m	l	i̯ə	m
亭	5611379	level	d	e	ŋ	d	e	ŋ	d	ɛ	ŋ	d	ɛj	ŋ	d	e	ŋ	dʱ	ie	ŋ
亮	5611382	departing	l	ɨɐ	ŋ	l	iɐ	ŋ	l	iɑ	ŋ	l	ɨa	ŋ	l	ia	ŋ	l	i̯a	ŋ
亯	5611385	rising	h	ɨɐ	ŋ	h	iɐ	ŋ	x	iɑ	ŋ	h	ɨa	ŋ	x	ia	ŋ	x	i̯a	ŋ
亳	5611388	checked	b	wɑ	k̚	b	ʷɑ	k̚	b	uɑ	k̚	b	wa	k̚	b	uɑ	k̚	bʱ	wɑ	k̚
𠅞	5611391	level	ʑ	ɨ	ŋ	ʑ	ɨ	ŋ	ʑ	ie	ŋ	ʑ	i	ŋ	d͡ʑ	iə	ŋ	d͡ʑʰ	i̯ə	ŋ
𠅬	5611394	level	p	ɑu	∅	p	ɑu	∅	p	ɑu	∅	p	aw	∅	p	ɑu	∅	p	ɑu	∅
亶	5611397	rising	t	ɑ	n	t	ɑ	n	t	ɑ	n	t	a	n	t	ɑ	n	t	ɑ	n
𠆎	5611400	level	ɦ	ʉi	∅	ɦ	ʷɨi	∅	ɣ	iuəi	∅	ɦ	uj	∅	ɣ	iuəi	∅	∅	we̯i	∅
亹	5611403	level	m	uə	n	m	uo	n	m	uə	n	m	wə	n	m	uə	n	m	uə	n
人	5611406	level	ȵ	iɪ	n	ȵ	i	n	ȵʑ	je	n	ȵ	i	n	ȵ	iĕ	n	ȵʑ	i̯ĕ	n
亼	5611409	checked	d͡z	iɪ	p̚	d͡z	i	p̚	d͡z	je	p̚	d͡z	i	p̚	d͡z	iə	p̚	d͡zʱ	i̯ə	p̚
什	5611412	checked	d͡ʑ	iɪ	p̚	d͡ʑ	i	p̚	d͡ʑ	je	p̚	d͡ʑ	i	p̚	ʑ	iə	p̚	ʑ	i̯ə	p̚
仁	5611415	level	ȵ	iɪ	n	ȵ	i	n	ȵʑ	je	n	ȵ	i	n	ȵ	iĕ	n	ȵʑ	i̯ĕ	n
仂	5611418	checked	l	ɨ	k̚	l	ɨ	k̚	l	ie	k̚	l	i	k̚	l	iə	k̚	l	i̯ə	k̚
仃	5611421	level	t	e	ŋ	t	e	ŋ	t	ɛ	ŋ	t	ɛj	ŋ	t	e	ŋ	t	ie	ŋ
仄	5611424	checked	t͡ʃ	ɨ	k̚	ʈ͡ʂ	ɨ	k̚	t͡ʃ	ie	k̚	ʈ͡ʂ	i	k̚	t͡ʃ	iə	k̚	ʈ͡ʂ	i̯ə	k̚
仆	5611427	departing	pʰ	ɨo	∅	pʰ	io	∅	pʰ	io	∅	pʰ	uə	̆	pʰ	io	∅	pʰ	i̯u	∅
仇	5611430	level	ɡ	ɨu	∅	ɡ	iu	∅	ɡ	iəu	∅	g	uw	∅	ɡ	iu	∅	g	i̯ə̯u	∅
仉	5611433	rising	t͡ɕ	ɨɐ	ŋ	t͡ɕ	iɐ	ŋ	t͡ɕ	iɑ	ŋ	c	ɨa	ŋ	t͡ɕ	ia	ŋ	t͡ɕ	i̯a	ŋ
今	5611436	level	k	ˠiɪ	m	k	ᵚi	m	k	ie	m	k	ji	m	k	jə	m	k	i̯ə	m
介	5611439	departing	k	ˠɛi	∅	k	ᵚæi	∅	k	ɐi	∅	k	əɨj	∅	k	ɛi	∅	k	ăi	∅
仍	5611442	level	ȵ	ɨ	ŋ	ȵ	ɨ	ŋ	ȵʑ	ie	ŋ	ȵ	i	ŋ	ȵ	iə	ŋ	ȵʑ	i̯ə	ŋ
从	5611445	level	d͡z	ɨo	ŋ	d͡z	io	ŋ	d͡z	io	ŋ	d͡z	uaw	ŋ	d͡z	io	ŋ	d͡zʱ	i̯wo	ŋ
仔	5611448	level	t͡s	ɨ	∅	t͡s	ɨ	∅	t͡s	ie	∅	t͡s	ɨ	∅	t͡s	iə	∅	t͡s	i	∅
仕	5611451	rising	d͡ʒ	ɨ	∅	ɖ͡ʐ	ɨ	∅	d͡ʒ	ie	∅	ɖ͡ʐ	ɨ	∅	d͡ʒ	iə	∅	ɖ͡ʐʱ	i	∅
他	5611454	level	tʰ	ɑ	∅	tʰ	ɑ	∅	tʰ	ɑ	∅	tʰ	a	∅	tʰ	ɑ	∅	tʰ	ɑ	∅
仗	5611457	rising	ɖ	ɨɐ	ŋ	ɖ	iɐ	ŋ	ȡ	iɑ	ŋ	ɖ	ɨa	ŋ	ȡ	ia	ŋ	ȡʱ	i̯a	ŋ
付	5611460	departing	p	ɨo	∅	p	io	∅	p	io	∅	p	uə	̆	p	io	∅	p	i̯u	∅
仙	5611463	level	s	iᴇ	n	s	iɛ	n	s	jæ	n	s	ia	n	s	iɛ	n	s	i̯ɛ	n
仛	5611466	checked	d	ɑ	k̚	d	ɑ	k̚	d	ɑ	k̚	d	a	k̚	d	ɑ	k̚	dʱ	ɑ	k̚
仜	5611469	level	ɦ	u	ŋ	ɦ	u	ŋ	ɣ	u	ŋ	ɦ	əw	ŋ	ɣ	u	ŋ	ɣ	u	ŋ
仝	5611472	level	d	u	ŋ	d	u	ŋ	d	u	ŋ	d	əw	ŋ	d	u	ŋ	dʱ	u	ŋ
仞	5611475	departing	ȵ	iɪ	n	ȵ	i	n	ȵʑ	je	n	ȵ	i	n	ȵ	iĕ	n	ȵʑ	i̯ĕ	n
仟	5611478	level	t͡sʰ	e	n	t͡sʰ	e	n	t͡sʰ	ɛ	n	t͡sʰ	ɛ	n	t͡sʰ	e	n	t͡sʰ	ie	n
仠	5611481	rising	k	ɑ	n	k	ɑ	n	k	ɑ	n	k	a	n	k	ɑ	n	k	ɑ	n
仡	5611484	checked	h	ɨ	t̚	h	ɨ	t̚	x	iə	t̚	h	ɨ	t̚	x	iə	t̚	x	i̯ə	t̚
仢	5611487	checked	d͡ʑ	ɨɐ	k̚	d͡ʑ	iɐ	k̚	d͡ʑ	iɑ	k̚	d͡ʑ	ɨa	k̚	ʑ	ia	k̚	ʑ	i̯a	k̚
代	5611490	departing	d	ʌi	∅	d	əi	∅	d	ɒi	∅	d	əj	∅	d	ᴀi	∅	dʱ	ɑ̆i	∅
令	5611493	level	l	iᴇ	n	l	iɛ	n	l	jæ	n	l	ia	n	l	iɛ	n	l	i̯ɛ	n
以	5611496	rising	j	ɨ	∅	j	ɨ	∅	∅	ie	∅	j	ɨ	∅	∅	iə	∅	∅	i	∅
㐱	5611499	rising	t͡ɕ	iɪ	n	t͡ɕ	i	n	t͡ɕ	je	n	c	i	n	t͡ɕ	iĕ	n	t͡ɕ	i̯ĕ	n
㐲	5611502	departing	d	ɑi	∅	d	ɑi	∅	d	ɑi	∅	d	aj	∅	d	ɑi	∅	dʱ	ɑi	∅
𠆩	5611505	level	b	ɨɐ	m	b	iɐ	m	b	iɐ	m	b	ua	m	b	iɐ	m	bʱ	i̯wɐ	m
仯	5611508	departing	t͡ʃʰ	ˠau	∅	ʈ͡ʂʰ	ᵚau	∅	t͡ʃʰ	au	∅	ʈ͡ʂʰ	aɨw	∅	t͡ʃʰ	au	∅	ʈ͡ʂʰ	au	∅
仰	5611512	rising	ŋ	ɨɐ	ŋ	ŋ	iɐ	ŋ	ŋ	iɑ	ŋ	ŋ	ɨa	ŋ	ŋ	ia	ŋ	ŋ	i̯a	ŋ
仲	5611515	departing	ɖ	ɨu	ŋ	ɖ	iu	ŋ	ȡ	iu	ŋ	ɖ	uw	ŋ	ȡ	iu	ŋ	ȡʱ	i̯u	ŋ
仳	5611518	level	b	iɪ	∅	b	i	∅	b	jɪ	∅	b	i	∅	b	i	∅	bʱ	i	∅
仵	5611521	rising	ŋ	uo	∅	ŋ	uo	∅	ŋ	o	∅	ŋ	ɔ	∅	ŋ	o	∅	ŋ	uo	∅
件	5611524	rising	ɡ	ˠiᴇ	n	ɡ	ᵚiɛ	n	ɡ	iæ	n	g	ia	n	ɡ	jɛ	n	g	i̯ɛ	n
价	5611527	departing	k	ˠɛi	∅	k	ᵚæi	∅	k	ɐi	∅	k	əɨj	∅	k	ɛi	∅	k	ăi	∅
仸	5611531	rising	ʔ	ˠiᴇu	∅	ʔ	ᵚiɛu	∅	ʔ	iæu	∅	ʔ	iaw	∅	ʔ	jɛu	∅	ʔ	i̯ɛu	∅
仹	5611534	level	pʰ	ɨo	ŋ	pʰ	io	ŋ	pʰ	io	ŋ	pʰ	uaw	ŋ	pʰ	io	ŋ	pʰ	i̯wo	ŋ
任	5611537	level	ȵ	iɪ	m	ȵ	i	m	ȵʑ	je	m	ȵ	i	m	ȵ	iə	m	ȵʑ	i̯ə	m
份	5611540	level	p	ˠiɪ	n	p	ᵚi	n	p	ie	n	p	ji	n	p	jĕ	n	p	i̯ĕ	n
仿	5611543	rising	pʰ	ʉɐ	ŋ	pʰ	ʷiɐ	ŋ	pʰ	iuɑ	ŋ	pʰ	ua	ŋ	pʰ	iua	ŋ	pʰ	iwa	ŋ
伀	5611546	level	t͡ɕ	ɨo	ŋ	t͡ɕ	io	ŋ	t͡ɕ	io	ŋ	c	uaw	ŋ	t͡ɕ	io	ŋ	t͡ɕ	i̯wo	ŋ
企	5611549	rising	kʰ	ˠiᴇ	∅	kʰ	ᵚiɛ	∅	kʰ	iɛ	∅	kʰ	jiə	̆	kʰ	je	∅	kʰ	ie	̯
