character	index	tone_label	Zhengzhang_onset	Zhengzhang_nucleus	Zhengzhang_coda	Pan_onset	Pan_nucleus	Pan_coda	Shao_onset	Shao_nucleus	Shao_coda	Pulleyblank_onset	Pulleyblank_nucleus	Pulleyblank_coda	Li_onset	Li_nucleus	Li_coda	Karlgren_onset	Karlgren_nucleus	Karlgren_coda
㿩	5639067	rising	tʰ	ɑ	ŋ	tʰ	ɑ	ŋ	tʰ	ɑ	ŋ	tʰ	a	ŋ	tʰ	ɑ	ŋ	tʰ	ɑ	ŋ
鐵	5639068	checked	tʰ	e	t̚	tʰ	e	t̚	tʰ	ɛ	t̚	tʰ	ɛ	t̚	tʰ	e	t̚	tʰ	ie	t̚
鐶	5639069	level	ɦ	ˠua	n	ɦ	ʷᵚa	n	ɣ	uɐ	n	ɦ	waɨ	n	ɣ	ua	n	ɣ	wa	n
皮	5639070	level	b	ˠiᴇ	∅	b	ᵚiɛ	∅	b	iɛ	∅	b	jiə	̆	b	je	∅	bʱ	ie	̯
鐸	5639071	checked	d	ɑ	k̚	d	ɑ	k̚	d	ɑ	k̚	d	a	k̚	d	ɑ	k̚	dʱ	ɑ	k̚
皯	5639072	rising	k	ɑ	n	k	ɑ	n	k	ɑ	n	k	a	n	k	ɑ	n	k	ɑ	n
鐹	5639073	rising	k	uɑ	∅	k	uɑ	∅	k	uɑ	∅	k	wa	∅	k	uɑ	∅	k	uɑ	∅
㿪	5639074	level	ɦ	uɑ	n	ɦ	ʷɑ	n	ɣ	uɑ	n	ɦ	wa	n	ɣ	uɑ	n	ɣ	uɑ	n
鐺	5639075	level	t	ɑ	ŋ	t	ɑ	ŋ	t	ɑ	ŋ	t	a	ŋ	t	ɑ	ŋ	t	ɑ	ŋ
𤿊	5639076	rising	k	ɑ	n	k	ɑ	n	k	ɑ	n	k	a	n	k	ɑ	n	k	ɑ	n
鐻	5639077	level	ɡ	ɨʌ	∅	ɡ	iɔ	∅	ɡ	iɔ	∅	g	ɨə	̆	ɡ	iɔ	∅	g	i̯wo	∅
㿬	5639078	level	p	ˠa	∅	p	ᵚa	∅	p	a	∅	p	aɨ	∅	p	a	∅	p	a	∅
鐼	5639079	level	b	ɨu	n	b	iu	n	b	iuə	n	b	u	n	b	iuə	n	bʱ	i̯uə	n
𤿎	5639080	level	pʰ	ˠiᴇ	∅	pʰ	ᵚiɛ	∅	pʰ	iɛ	∅	pʰ	jiə	̆	pʰ	je	∅	pʰ	ie	̯
䥝	5639081	level	ʔ	ɑu	∅	ʔ	ɑu	∅	ʔ	ɑu	∅	ʔ	aw	∅	ʔ	ɑu	∅	ʔ	ɑu	∅
䥡	5639082	checked	d	e	p̚	d	e	p̚	d	ɛ	p̚	d	ɛ	p̚	d	e	p̚	dʱ	ie	p̚
皰	5639083	departing	pʰ	ˠau	∅	pʰ	ᵚau	∅	pʰ	au	∅	pʰ	aɨw	∅	pʰ	au	∅	pʰ	au	∅
㿭	5639084	checked	ʈʰ	ˠæ	k̚	ʈʰ	ᵚa	k̚	ȶʰ	a	k̚	ʈʰ	aɨj	k̚	ȶʰ	ɐ	k̚	ȶʰ	ɐ	k̚
䥢	5639085	level	l	uo	ŋ	l	uo	ŋ	l	o	ŋ	l	aw	ŋ	l	o	ŋ	l	uo	ŋ
